,age,r,phi,z,v_r,v_phi,v_z,weights
,[yr],[kpc],[rad],[kpc],[km/s],[km/s],[km/s],
1991383,55879421.343723714,5.1163230484320605,9.221309235166563,0.4712565868436349,-165.547767430254,-185.6922383147524,153.8147581802965,1.0
1544667,22947097.957816463,6.26033020075378,7.072885726720832,-0.7649415433706376,123.98456731798343,108.01068842516494,-209.2239353412289,1.0
1759665,25908023.327552184,2.9615563129001896,1.5573422103671508,0.14579218850632378,256.24814175805517,121.46460294653706,60.08766145753171,1.0
1193030,88006384.24001852,1.3184457735202364,1.9859145307748758,2.005904968898549,395.4222787569236,-117.2485291437882,183.68276016736988,1.0
1046695,63495175.68336718,4.441020905566329,7.1351314295993244,-2.979714812054351,-232.27734761775795,-368.2320278128644,-326.14523848948085,1.0
2687658,3759002.9339167615,5.365727119766625,6.2703054790503145,-0.04107119581278737,119.66816893389007,166.0188915159051,-169.92071302884077,1.0
2894520,96062229.42795786,8.916630418251255,7.394559000031128,2.2628227734808166,248.46779705168282,-199.500133010319,230.33681137135414,1.0
1990324,6595268.428246431,3.6413174440628433,4.917072949636324,0.2306642824151209,50.30500627075789,162.7133751620574,71.63140824133414,1.0
1349736,59692992.60027988,12.869745445063016,10.546432061584072,1.7071013518091394,103.42079410771099,-425.61313613942366,352.3036649602236,1.0
2160976,24139749.961109303,10.391632546398993,7.281965794016327,0.7560444734466069,-115.93271245741992,-606.8993266385401,311.89147339901933,1.0
1616451,69761943.24957277,3.894899541901089,4.094037976567747,1.3235190921657538,701.0896639322274,-542.4891276371392,59.8231629856571,1.0
1257584,64313786.59329008,7.974087661460537,6.727914740660284,1.1201349498048911,479.79814199054744,-115.84460979798205,159.47074878251112,1.0
613355,45793694.40447989,7.715410756185408,4.725530250187918,-1.4334743578671982,83.45483585702142,275.6413767717868,-304.36945980417704,1.0
82163,15159793.572882546,10.71805191534774,6.4280599503556966,-0.92336914199389,211.46426174065024,-167.96017338385911,-306.47294777564616,1.0
2011403,36547225.396999344,5.574316816607568,7.812077132154747,-0.4283111426589815,-187.28298528502418,-486.36297066283225,-9.946137270192844,1.0
2075634,27650800.719795458,4.80607039090773,7.004638294427652,0.047231172422199534,-7.850923067197252,-283.828610191232,-53.111085014046566,1.0
2250434,79188581.91102582,9.030400851417925,10.909860546077534,-2.273262609295336,102.60179089378073,-785.2932732667067,-252.3030672130086,1.0
2244498,86066913.86356178,11.354461080141261,11.530590484610293,-1.7469124070200532,282.63709081664007,191.67559958453876,-191.6014456512079,1.0
841329,83903097.19524851,10.111162584928113,6.717579586665138,-1.2884217452758011,146.12701542353818,-79.38275316678684,-193.47646669847092,1.0
2367838,28311544.92254998,13.850130996274904,10.180993265813367,-0.1790874550293308,256.2456440109362,-182.88278412264373,-156.18882194155157,1.0
309676,73236465.46900886,3.655706743026973,6.083768373105121,1.7772293240950257,-45.97626061337583,49.95939389779699,293.6072607341021,1.0
2036507,20408961.03127206,8.561380351016258,7.251560528135978,-0.1581687477718467,-310.5640602715619,-142.05669660789903,10.66272112179542,1.0
1722353,79892251.25627977,3.3524745513752365,7.004627394693174,0.863298015738942,10.427078192023828,251.05476920978236,83.93164228443403,1.0
440183,66848987.13480823,15.24164444293732,7.295270616798833,-2.174762472694176,417.78139541353653,-80.84132217398262,-288.4098085902445,1.0
1767917,29792721.960495196,7.808986614210834,10.157738154120382,-0.7965237253098492,-152.70327366806248,-79.32954330882619,-182.34741978717344,1.0
2099278,44785605.00139148,0.4946904780689408,-3.622854094636768,-0.0500514924134253,-144.18423312941144,-58.794532918738355,-60.98619080960643,1.0
307001,87979796.00211324,3.457083995004232,4.261186231644244,0.04036761267129415,-269.888337920335,205.54289745532608,-8.12977812355209,1.0
2083204,37082818.281449236,17.501163288258613,14.014884414584513,-0.14513282128783644,-359.157739256714,-297.91596109569974,-65.86281973838965,1.0
1607690,19635019.327081062,5.472301609602367,6.484870894092923,-0.4785373032615272,19.6732241602352,-227.6520894575148,-139.10207978287465,1.0
2833783,37968969.25515266,5.150939441637413,4.689492173169892,0.06400173845153269,285.9225025597396,-589.6990386119959,31.184877699223986,1.0
2710206,35049073.0531679,5.683614068547143,3.3513490820158487,0.05325340107206755,335.602865455858,238.39470399099545,100.49096515615105,1.0
417827,92482720.4356806,17.50605495890175,12.659173212260974,-4.736945643949217,18.82805135049204,-395.2322887720771,-516.4532070075732,1.0
2848466,65082358.12432447,7.653536760794375,5.352116993289458,-1.9014365072578812,-191.0203224312035,-233.33063318621663,-286.04461018295825,1.0
1224409,98014970.85061577,14.004300307541008,11.00484867622859,1.0763709398075552,71.55002954993401,-231.3631032474801,104.90064227691308,1.0
1721039,3058700.9172489056,4.604752791120526,3.7917570977583006,0.053750562585173,-85.72211199618033,-504.14815051997846,245.8136692169788,1.0
