PSRJ,RAJ,RAJ_UNC,DECJ,DECJ_UNC,PMRA,PMRA_UNC,PMDEC,PMDEC_UNC,PX,PX_UNC,POSEPOCH,REFERENCE FOR PROPER MOTION,CLASS,
,[hms],,[dms],,[mas / yr],[mas / yr],[mas / yr],[mas / yr],[mas],[mas],[MJD],(only if different from the ATNF),,
J0636+5129,06:36:04.8472,0.00039,+51:28:59.967,0.0082,4.3,0.9,2,1.2,4.9,0.6,57002,Stovall+ 2014,PSR,
J0645+5158,06:45:59.0821,0.0002,+51:58:14.919,0.0041,1.64,0.08,-7.2,0.1,0.39,0.08,56534,Perera+ 2019,PSR,
J0653+8051,06:53:15.09,0.03,+80:52:00.22,0.11,19,3,-1,3,*,0,48712,,PSR,
J0659+1414,06:59:48.196,0.003,+14:14:19.4,0.3,44.07,0.63,-2.4,0.29,3.47,0.36,57600,,PSR,
J0709+0458,07:09:08.36539,2E-05,+04:58:51.4941,0.0006,-0.7,0.2,-1.3,0.4,*,0,56983,,PSR,
J0711-6830,07:11:54.189114,1.3E-05,-68:30:47.41446,8E-05,-15.57,0.02,14.24,0.02,*,0,54500,Perera+ 2019,PSR,
J0729-1836,07:29:32.3369,0.0001,-18:36:42.244,0.002,-13.06,0.11,13.27,0.44,0.5,0.09,49720,,PSR,
J0737-3039A,07:37:51.248419,2.6E-05,-30:39:40.71431,0.0001,-3.82,0.62,2.13,0.23,0.87,0.14,54100,,PSR,
J0737-3039B,07:37:51.248419,2.6E-05,-30:39:40.71431,0.0001,-3.82,0.62,2.13,0.23,0.87,0.14,54100,,PSR,
J0738-4042,07:38:32.262,0.002,-40:42:39.42,0.02,-14,1.2,13,2,*,0,57600,,PSR,
J0742-2822,07:42:49.058,0.002,-28:22:43.76,0.04,-29,2,4,2,*,0,49326,,PSR,
J0745-5353,07:45:04.48,0.04,-53:53:09.56,0.03,-60,10,50,10,*,0,55129,,PSR,
J0751+1807,07:51:09.155331,1.3E-05,+18:07:38.4864,0.001,-2.72,0.06,-13.4,0.3,0.8,0.2,55000,Perera+ 2019,PSR,
J0754+3231,07:54:40.688,0.005,+32:31:56.2,0.2,-4,5,7,3,*,0,48725,,PSR,
J0758-1528,07:58:29.0708,0.0007,-15:28:08.738,0.019,-10,4,12,3,*,0,49896,,PSR,
J0809-4753,08:09:43.835,0.006,-47:53:54.70,0.06,-19,5,15,4,*,0,57600,,PSR,
J0814+7429,08:14:59.50,0.02,+74:29:05.70,0.11,24.02,0.09,-44,0.4,2.31,0.04,49162,,PSR,
J0820-1350,08:20:26.3817,0.0001,-13:50:55.859,0.002,21.64,0.09,-39.44,0.05,0.51,0.04,52275,,PSR,
J0821-4300,08:21:57.3653,0.0031,-43:00:17.074,0.043,-54.1,8.3,-28.1,10,*,0,53454,,PSR,
J0823+0159,08:23:09.7651,0.0001,+01:59:12.469,0.001,-3.797,0.244,0.171,0.256,0.376,0.099,49281,Deller+ 2019,PSR,
J0824+0028,08:24:24.84022,5E-05,+00:28:00.567,0.002,-4.3,0.4,-9.2,1.3,*,0,56600,,PSR,
J0826+2637,08:26:51.5068,0.0001,+26:37:21.297,0.001,63,0.01,-96.75,0.07,2.01,0.01,46450,,PSR,
J0835-4510,08:35:20.61149,2E-05,-45:10:34.8751,0.0003,-49.68,0.06,29.9,0.1,3.5,0.2,51544,,PSR,
J0837+0610,08:37:05.642,0.003,+06:10:14.56,0.14,2,5,51,3,*,0,48721,,PSR,
J0837-4135,08:37:21.1943,0.0006,-41:35:14.563,0.006,11,2,-13,1,*,0,57600,,PSR,
J0846-3533,08:46:06.040,0.008,-35:33:41.2,0.1,93,72,-15,65,*,0,57600,,PSR,
J0900-3144,09:00:43.953088,8E-06,-31:44:30.89520,0.00013,-1.01,0.05,2.01,0.06,0.7,0.6,55000,Perera+ 2019,PSR,
J0908-1739,09:08:38.1822,0.0011,-17:39:37.67,0.03,27,11,-40,11,*,0,48737,,PSR,
J0922+0638,09:22:14.022,0.004,+06:38:23.30,0.17,18.8,0.9,86.4,0.7,0.83,0.13,48227,,PSR,
J0942-5657,09:42:54.424,0.009,-56:57:43.21,0.06,-12,7,12,3,*,0,57600,,PSR,
J0943+1631,09:43:30.10,0.15,+16:31:37,6,23,16,9,11,*,0,48865,,PSR,
J0944-1354,09:44:28.9559,0.0011,-13:54:41.63,0.03,-1,32,-22,14,*,0,49337,,PSR,
J0946+0951,09:46:07.6,0.8,+09:51:55,34,-38,19,-21,12,*,0,48483,,PSR,
