#,PSRJ,PMRA,PMDEC,PX,POSEPOCH,Gl,Gb,RAJD,DECJD,P0,P1,DM,TAU_SC,S400,S1400,S2000,DIST,ZZ,XX,YY,ASSOC,SURVEY,,,,,,,,
,,[mas/yr],[mas/yr],[mas],[MJD],[deg],[deg],[deg],[deg],[s],[s/s],[cm^-3pc],[s],[mJy],[mJy],[mJy],[kpc],[kpc],[kpc],[kpc],,,,,,,,,,
1424,J1749+16,NAN,NAN,NAN,57022,41.208,20.9,267.37083333,16.4,2.31165,NAN,59.6,NAN,NAN,NAN,NAN,7.382,2.633,4.543,3.312,NAN,ar327,,,,,,,,
1425,J1749-2146,NAN,NAN,NAN,57656,6.568,2.981,267.33850417,-21.77527778,2.714556,7.08E-15,260,NAN,NAN,NAN,NAN,9.601,0.499,1.097,-1.025,NAN,htru_pks,,,,,,,,
1426,J1749-2347,NAN,NAN,NAN,52055,4.828,1.967,267.31504167,-23.78805556,0.874486,2.42E-15,344,NAN,NAN,0.13,NAN,12.646,0.434,1.064,-4.094,NAN,pksmb,,,,,,,,
1427,J1749-2629,NAN,NAN,NAN,51495,2.505,0.593,267.297,-26.48611111,1.335388,1.72E-15,409,NAN,NAN,0.7,NAN,4.196,0.043,0.183,4.308,NAN,pksmb,htru_pks,,,,,,,
1428,J1749-3002,NAN,NAN,NAN,50279,359.459,-1.244,267.30622054,-30.04303417,0.609874,7.87E-15,509.4,0.01,12.7,4.1,NAN,12.731,-0.276,-0.12,-4.227,NAN,pks1,pksmb,htru_pks,,,,,,
1429,J1749-4931,NAN,NAN,NAN,55000,342.522,-11.095,267.34904167,-49.53305556,0.445822,5.9E-16,55.29,NAN,NAN,0.1,NAN,1.98,-0.381,-0.584,6.647,NAN,htru_pks,,,,,,,,
1430,J1749-5417,NAN,NAN,NAN,56388,338.275,-13.427,267.44608333,-54.29186111,0.307577,1.5E-16,69,NAN,NAN,0.32,NAN,3.279,-0.761,-1.181,5.537,NAN,htru_pks,,,,,,,,
1431,J1749-5605,NAN,NAN,NAN,43558.85,336.637,-14.262,267.43541667,-56.08861111,1.33231,2.12E-15,58,NAN,3,NAN,NAN,2.493,-0.614,-0.958,6.282,NAN,mol2,htru_pks,,,,,,,
1432,J1749+5952,NAN,NAN,NAN,57751,88.621,30.9,267.38845,59.87670278,0.436041,1.52E-16,45.07,NAN,NAN,NAN,NAN,25,12.839,21.445,7.984,NAN,lotaas,,,,,,,,
1433,J1750+07,NAN,NAN,NAN,57022,32.841,16.925,267.66666667,7.55,1.90881,NAN,55.4,NAN,NAN,NAN,NAN,3.751,1.092,1.946,5.485,NAN,ar327,,,,,,,,
1434,J1750-2043,NAN,NAN,NAN,52923,7.591,3.331,267.57666667,-20.71888889,5.639047,7.95E-15,239,NAN,NAN,0.24,NAN,8.84,0.514,1.166,-0.248,NAN,pksmb,,,,,,,,
1435,J1750-2438,NAN,NAN,NAN,51491,4.291,1.185,267.7491125,-24.64944444,0.712794,1.08E-14,476,NAN,NAN,0.5,NAN,12.845,0.266,0.961,-4.306,NAN,pksmb,htru_pks,,,,,,,
1436,J1750-2444,NAN,NAN,NAN,51835,4.136,1.255,267.59566667,-24.74638889,0.899377,2.64E-16,331,NAN,NAN,0.27,NAN,4.858,0.106,0.35,3.656,NAN,pksmb,htru_pks,,,,,,,
1437,J1750-28,NAN,NAN,NAN,56783,0.663,-0.737,267.51666667,-28.75,1.300513,5.78E-15,388,NAN,NAN,0.09,NAN,4.069,-0.052,0.047,4.432,NAN,htru_pks,,,,,,,,
1438,J1750-3157,NAN,NAN,NAN,50271,357.982,-2.516,267.69716057,-31.96226094,0.910363,1.97E-16,206.34,NAN,NAN,1.7,NAN,4.338,-0.19,-0.153,4.169,NAN,pks1,pksmb,htru_pks,,,,,,
1439,J1750-3503,NAN,NAN,NAN,48735,355.314,-4.082,267.68542083,-35.05247222,0.684014,3.81E-17,189.35,0,29,0.79,NAN,5.864,-0.417,-0.478,2.67,NAN,pks70,pksmb,htru_pks,,,,,,
1440,J1750-3703C,NAN,NAN,NAN,54000,353.533,-5.007,267.55605875,-37.05155,0.026569,-9.96E-19,230.67,NAN,NAN,NAN,0.01,13.8,-1.204,-1.548,-5.16,GC:NGC6441,misc,,,,,,,,
1441,J1750-3703D,NAN,NAN,NAN,54000,353.532,-5.006,267.55457042,-37.05176889,0.00514,4.93E-19,230.09,NAN,NAN,NAN,0.01,13.8,-1.204,-1.549,-5.16,GC:NGC6441,misc,,,,,,,,
1442,J1751-2516,NAN,NAN,NAN,51383,3.852,0.692,267.96929167,-25.27861111,0.394836,2.64E-15,556,NAN,NAN,0.22,NAN,5.18,0.063,0.348,3.332,NAN,pksmb,htru_pks,,,,,,,
1443,J1751-2737,NAN,NAN,NAN,NAN,1.761,-0.376,267.80270833,-27.62216667,0.00223,NAN,260,0,NAN,NAN,0.3,3.483,-0.023,0.107,5.019,NAN,misc,,,,,,,,
1444,J1751-3323,NAN,NAN,NAN,53750,356.829,-3.382,267.88635417,-33.39433333,0.548227,8.83E-15,296.7,0.09,NAN,1.9,NAN,14.283,-0.843,-0.789,-5.736,NAN,pksmb,htru_pks,,,,,,,
1445,J1751-4657,-13,-59,NAN,57600,345.002,-10.178,267.92581667,-46.95736944,0.742354,1.3E-15,20.4,0,70,6.6,NAN,0.739,-0.131,-0.188,7.797,NAN,misc,mol2,pks70,pkssw,htru_pks,,,,
1446,J1752+2359,NAN,NAN,NAN,51952,49.098,23.074,268.14758333,23.99672222,0.409051,6.43E-16,36.2,0,3.5,NAN,NAN,3.03,1.188,2.107,6.675,NAN,ar4,lotaas,,,,,,,
1447,J1752-2410,NAN,NAN,NAN,51865,4.93,1.039,268.24475833,-24.17388889,0.191037,6.18E-16,508.3,NAN,NAN,0.47,NAN,12.399,0.225,1.065,-3.851,NAN,pksmb,htru_pks,,,,,,,
1448,J1752-2806,-4,-5,NAN,46483,1.54,-0.961,268.24454,-28.11036111,0.562558,8.13E-15,50.37,0,1100,47.8,NAN,0.2,-0.003,0.005,8.3,NAN,mol1,jb1,mol2,jb2,pks1,pks70,pksmb,,
1449,J1752-2821,NAN,NAN,NAN,50974,1.267,-0.976,268.10229167,-28.35277778,0.640229,3.47E-15,516.3,NAN,NAN,0.32,NAN,5.436,-0.093,0.12,3.066,NAN,pksmb,htru_pks,,,,,,,
1450,J1753-12,NAN,NAN,NAN,54831,14.608,6.703,268.22083333,-12.98333333,0.405454,NAN,73.2,NAN,NAN,NAN,NAN,1.123,0.131,0.281,7.421,NAN,pkssw,,,,,,,,
1451,J1753-1914,NAN,NAN,NAN,53150,9.251,3.412,268.39654583,-19.24944444,0.062955,2.02E-18,105.3,NAN,NAN,0.13,NAN,2.915,0.174,0.468,5.628,NAN,pksmb,htru_pks,,,,,,,
1452,J1753-2501,NAN,NAN,NAN,49613,4.274,0.512,268.37757946,-25.00699789,0.528336,1.41E-14,672,0.33,NAN,2.3,NAN,5.309,0.047,0.396,3.206,NAN,jb2,pksmb,htru_pks,,,,,,
1453,J1753-28,NAN,NAN,NAN,NAN,0.887,-1.377,268.275,-28.88333333,0.085859,NAN,18,NAN,NAN,NAN,NAN,0.693,-0.017,0.011,7.807,NAN,htru_pks,,,,,,,,
1454,J1753-38,NAN,NAN,NAN,55305,352.277,-6.368,268.25,-38.81666667,0.666804,NAN,168,NAN,NAN,NAN,NAN,8.863,-0.983,-1.184,-0.228,NAN,pkssw,htru_pks,,,,,,,
1455,J1754+0032,NAN,NAN,NAN,55062,26.93,12.844,268.71666667,0.60916667,0.004411,NAN,70,NAN,NAN,NAN,NAN,4.021,0.894,1.776,5.005,NAN,htru_pks,,,,,,,,
1456,J1754-2422,NAN,NAN,NAN,55310,4.947,0.618,268.65233333,-24.37333333,2.090248,8.3E-16,738,NAN,NAN,NAN,NAN,11.097,0.12,0.957,-2.555,NAN,htru_pks,,,,,,,,
1457,J1754-3014,NAN,NAN,NAN,55292,359.862,-2.332,268.62575417,-30.25083333,1.32049,4.43E-15,89.7,NAN,NAN,NAN,NAN,2.52,-0.103,-0.006,5.982,NAN,pksmb,,,,,,,,
1458,J1754-3443,NAN,NAN,NAN,52260,355.994,-4.607,268.65571667,-34.73163889,0.361691,5.71E-16,187.7,NAN,NAN,0.49,NAN,7.098,-0.57,-0.494,1.442,NAN,pksmb,htru_pks,,,,,,,
1459,J1754-3510,NAN,NAN,NAN,53097,355.635,-4.882,268.72756667,-35.17861111,0.392704,7.82E-16,82.3,NAN,NAN,0.47,NAN,2.574,-0.219,-0.195,5.943,NAN,pksmb,htru_pks,,,,,,,
1460,J1754+5201,-3.95,1.11,0.16,49666,79.608,29.628,268.595445,52.02006778,2.391397,1.56E-15,35.01,NAN,4.9,1.6,NAN,6.25,3.09,5.344,7.52,NAN,gb2,lotaas,,,,,,,
1461,J1755-0903,NAN,NAN,NAN,55536,18.324,8.15,268.79318333,-9.06433333,0.19071,7.81E-16,63.7,NAN,NAN,NAN,NAN,0.235,0.033,0.073,8.279,NAN,htru_pks,,,,,,,,
1462,J1755-1650,NAN,NAN,NAN,53165,11.527,4.291,268.79853333,-16.84472222,0.733744,6.86E-16,159.9,NAN,NAN,0.13,NAN,4.618,0.345,0.92,3.988,NAN,pksmb,htru_pks,,,,,,,
1463,J1755-2025,NAN,NAN,NAN,54268.1,8.48,2.416,268.89917083,-20.41666667,0.322231,4.42E-15,364.3,NAN,NAN,0.18,NAN,15.975,0.673,2.354,-7.286,NAN,pksmb,htru_pks,,,,,,,
1464,J1755-2521,NAN,NAN,NAN,51586,4.255,-0.15,268.99879167,-25.3575,1.175968,9.02E-14,252,NAN,NAN,0.7,NAN,3.444,-0.009,0.256,5.066,NAN,pksmb,htru_pks,,,,,,,
1465,J1755-25211,NAN,NAN,NAN,51908,4.183,-0.016,268.83045833,-25.3525,1.004513,3.12E-14,835,NAN,NAN,0.17,NAN,5.055,-0.001,0.369,3.458,NAN,pksmb,,,,,,,,
1466,J1755-2534,NAN,NAN,NAN,52188,4.047,-0.229,268.95758333,-25.5775,0.233541,1.12E-14,590,NAN,NAN,0.17,NAN,4.399,-0.018,0.31,4.112,NAN,pksmb,,,,,,,,
1467,J1755-26,NAN,NAN,NAN,56827,3.618,-0.333,268.817875,-26,0.430872,1.23E-14,405,NAN,NAN,0.14,NAN,3.946,-0.023,0.249,4.562,NAN,htru_pks,,,,,,,,
1468,J1755-2725,NAN,NAN,NAN,51492,2.432,-1.135,268.9245,-27.42916667,0.261955,1.37E-17,115,NAN,NAN,0.5,NAN,2.703,-0.054,0.115,5.8,NAN,pksmb,htru_pks,,,,,,,
1469,J1755-33,NAN,NAN,NAN,52080.6,357.109,-4.102,268.8,-33.51666667,0.959466,NAN,266.5,NAN,NAN,0.2,NAN,14.084,-1.007,-0.709,-5.53,NAN,pksmb,,,,,,,,
1470,J1756+1822,NAN,NAN,NAN,53400,43.836,20.185,269.0732625,18.38202778,0.744001,5.13E-16,70.8,NAN,0.7,0.01,NAN,25,8.626,16.251,-8.426,NAN,misc,,,,,,,,
1471,J1756-2225,NAN,NAN,NAN,52360,6.835,1.237,269.1065,-22.43,0.40498,5.27E-14,329,NAN,NAN,0.25,NAN,4.779,0.103,0.569,3.756,NAN,pksmb,htru_pks,,,,,,,
1472,J1756-2435,NAN,NAN,NAN,49613,5.027,0.044,269.24130613,-24.59286391,0.67048,2.85E-16,367.1,0.03,8.4,2,NAN,3.834,0.003,0.336,4.681,NAN,jb2,pks1,pksmb,htru_pks,,,,,
1473,J1756-25,NAN,NAN,NAN,56657,4.241,-0.342,269.175,-25.46666667,0.855986,NAN,706,NAN,NAN,0.2,NAN,4.768,-0.028,0.353,3.745,NAN,htru_pks,,,,,,,,
1474,J1756-2619,NAN,NAN,NAN,54223.2,3.574,-0.891,269.33079167,-26.31888889,0.724514,1.24E-15,534,NAN,NAN,0.1,NAN,5.112,-0.08,0.319,3.399,NAN,pksmb,,,,,,,,
1475,J1757-1500,NAN,NAN,NAN,57038,13.367,4.785,269.30313333,-15.00791667,0.179354,1.5E-15,150,NAN,NAN,0.09,NAN,4.222,0.352,0.973,4.407,NAN,htru_pks,,,,,,,,
1476,J1757-16,NAN,NAN,NAN,NAN,12.151,4.034,269.35416667,-16.43333333,0.451273,NAN,132.2,NAN,NAN,NAN,NAN,3.367,0.237,0.707,5.217,NAN,pksmb,,,,,,,,
1477,J1757-2223,NAN,NAN,NAN,51495,7.029,0.97,269.46155,-22.39694444,0.18531,7.82E-16,239.3,NAN,NAN,0.8,NAN,3.727,0.063,0.456,4.802,NAN,pksmb,htru_pks,,,,,,,
1478,J1757-2421,NAN,NAN,NAN,53623,5.281,0.054,269.3721815,-24.36873464,0.234106,1.3E-14,179.45,0,20,7.2,NAN,3.124,0.003,0.288,5.389,GRS:[sbc+19],misc,mol1,jb2,pks1,pksmb,htru_pks,,,
1479,J1757-27,NAN,NAN,NAN,56778,2.4,-1.721,269.4783125,-27.75,0.017687,2.1E-19,334,NAN,NAN,0.07,NAN,8.133,-0.244,0.34,0.378,NAN,htru_pks,,,,,,,,
1480,J1758-1931,NAN,NAN,NAN,52353,9.544,2.353,269.52333333,-19.52805556,0.692552,1.69E-14,207,NAN,NAN,0.38,NAN,4.544,0.187,0.753,4.023,NAN,pksmb,htru_pks,,,,,,,
1481,J1758-2206,NAN,NAN,NAN,51495,7.378,0.933,269.68520833,-22.1125,0.430278,9.56E-16,678,NAN,NAN,0.41,NAN,15.065,0.245,1.934,-6.438,NAN,pksmb,htru_pks,,,,,,,
1482,J1758-2540,NAN,NAN,NAN,50975,4.263,-0.807,269.63308333,-25.68027778,2.107263,1.55E-15,218.2,NAN,NAN,0.65,NAN,3.41,-0.048,0.253,5.1,NAN,pksmb,htru_pks,,,,,,,
1483,J1758-2630,NAN,NAN,NAN,51244,3.555,-1.225,269.64279167,-26.50277778,1.202893,5.17E-15,328,NAN,NAN,0.41,NAN,4.35,-0.093,0.27,4.159,NAN,pksmb,htru_pks,,,,,,,
1484,J1758-2846,NAN,NAN,NAN,53253,1.556,-2.294,269.56420833,-28.76722222,0.766706,9.41E-17,66.6,NAN,NAN,0.2,NAN,2.006,-0.08,0.054,6.496,NAN,pksmb,htru_pks,,,,,,,
1485,J1758+3030,NAN,NAN,NAN,49800,56.265,24.032,269.60783333,30.50666667,0.947256,7.2E-16,35.07,NAN,8.9,NAN,NAN,3.279,1.335,2.49,6.837,NAN,ar4,gb4,lotaas,,,,,,
1486,J1759-1029,NAN,NAN,NAN,55348,17.596,6.504,269.89291667,-10.49916667,2.512263,1.57E-14,110,NAN,NAN,NAN,NAN,2.239,0.254,0.672,6.379,NAN,htru_pks,,,,,,,,
1487,J1759-1736,NAN,NAN,NAN,53156,11.378,3.028,269.86733333,-17.60277778,0.798452,2.55E-16,206,NAN,NAN,0.12,NAN,4.917,0.26,0.969,3.686,NAN,pksmb,,,,,,,,
1488,J1759-1903,NAN,NAN,NAN,52003,10.142,2.26,269.924,-19.05527778,0.731505,3.07E-15,467,NAN,NAN,0.16,NAN,21.806,0.86,3.837,-12.949,NAN,pksmb,htru_pks,,,,,,,
1489,J1759-1940,NAN,NAN,NAN,51491,9.634,1.901,269.98766667,-19.67472222,0.25472,9.34E-17,302.7,NAN,NAN,0.9,NAN,7.987,0.265,1.336,0.63,NAN,pksmb,htru_pks,,,,,,,
1490,J1759-1956,NAN,NAN,NAN,51495,9.366,1.845,269.89758333,-19.93555556,2.843389,1.86E-14,236.4,NAN,NAN,0.41,NAN,4.62,0.149,0.751,3.944,NAN,pksmb,htru_pks,,,,,,,
1491,J1759-2205,NAN,NAN,NAN,57600,7.472,0.81,269.85068333,-22.0925,0.460982,1.09E-14,177.16,0,20,1.3,NAN,3.256,0.046,0.423,5.272,NAN,mol2,jb2,pks1,pks70,pksmb,htru_pks,,,
1492,J1759-2302,NAN,NAN,NAN,51115,6.702,0.257,269.955125,-23.03555556,0.810718,1.07E-14,889,NAN,NAN,1.3,NAN,5.782,0.026,0.675,2.758,NAN,pksmb,htru_pks,,,,,,,
1493,J1759-2307,NAN,NAN,NAN,51110,6.593,0.275,269.8789375,-23.12138889,0.558889,3.76E-15,812.6,NAN,NAN,0.7,NAN,5.345,0.026,0.614,3.19,NAN,pksmb,htru_pks,,,,,,,
1494,J1759-24,NAN,NAN,NAN,56657,5.789,-0.156,269.85,-24.03333333,1.457739,NAN,772,NAN,NAN,0.5,NAN,4.87,-0.013,0.491,3.655,NAN,htru_pks,,,,,,,,
1495,J1759-2549,NAN,NAN,NAN,51380,4.261,-1.082,269.89633333,-25.81861111,0.956549,9.96E-14,431,NAN,NAN,0.6,NAN,4.918,-0.093,0.365,3.596,NAN,pksmb,htru_pks,,,,,,,
1496,J1759-2922,NAN,NAN,NAN,50856,1.202,-2.887,269.95102546,-29.36867382,0.5744,4.63E-15,79.42,NAN,13,0.56,NAN,2.417,-0.122,0.051,6.087,NAN,pks70,pksmb,htru_pks,,,,,,
1497,J1759-3107,NAN,NAN,NAN,57600,359.629,-3.674,269.8419,-31.12272222,1.078955,3.77E-15,128.6,NAN,NAN,0.91,NAN,3.105,-0.199,-0.02,5.401,NAN,pksmb,htru_pks,,,,,,,
1498,J1800-0125,NAN,NAN,NAN,52820,25.749,10.678,270.092,-1.42516667,0.783185,1.15E-14,50,NAN,NAN,0.14,NAN,1.477,0.274,0.631,7.193,NAN,misc,htru_pks,,,,,,,
1499,J1800-2114,NAN,NAN,NAN,52360,8.306,1.073,270.05125,-21.23861111,1.799272,5.5E-16,641,NAN,NAN,0.3,NAN,16.114,0.302,2.327,-7.442,NAN,pksmb,htru_pks,,,,,,,
1500,J1800-2343,NAN,NAN,NAN,44969,6.132,-0.118,270,-23.71666667,1.03082,NAN,280,NAN,4,NAN,NAN,3.559,-0.007,0.38,4.961,NAN,misc,,,,,,,,
1501,J1800+5034,NAN,NAN,NAN,56500,78.13,28.44,270.18488393,50.57271248,0.578375,1.17E-16,22.71,NAN,23.5,NAN,NAN,1.937,0.922,1.667,8.15,NAN,gbncc,lotaas,,,,,,,
1502,J1801-0357,NAN,NAN,NAN,57600,23.595,9.257,270.34428333,-3.96547222,0.921493,3.31E-15,120.37,0,17,0.7,NAN,5.739,0.923,2.267,3.309,NAN,gb3,pks70,pkssw,htru_pks,lotaas,,,,
1503,J1801-0857A,NAN,NAN,NAN,54400,19.225,6.762,270.460885,-8.95884722,0.007176,-5.13E-19,182.56,NAN,NAN,0.04,0.02,7.2,0.848,2.354,1.749,GC:NGC6517,misc,,,,,,,,
1504,J1801-0857C,NAN,NAN,NAN,54400,19.225,6.762,270.46141958,-8.95908333,0.003739,-6.5E-20,182.26,NAN,NAN,0.01,0.01,7.2,0.848,2.354,1.749,GC:NGC6517,misc,,,,,,,,
1505,J1801-0857D,NAN,NAN,NAN,54400,19.237,6.746,270.48068875,-8.95675833,0.004227,6.9E-21,174.71,NAN,NAN,NAN,0.01,7.2,0.846,2.356,1.749,GC:NGC6517,misc,,,,,,,,
1506,J1801-1417,-10.89,-3,NAN,55000,14.546,4.162,270.46280555,-14.29292389,0.003625,5.3E-21,57.26,NAN,NAN,0.17,NAN,1.105,0.08,0.277,7.433,NAN,pksmb,,,,,,,,
1507,J1801-1855,NAN,NAN,NAN,51495,10.447,1.978,270.34291667,-18.93027778,2.550498,1.82E-16,484,NAN,NAN,0.47,NAN,20.072,0.693,3.638,-11.227,NAN,pksmb,htru_pks,,,,,,,
1508,J1801-1909,NAN,NAN,NAN,51491,10.295,1.781,270.44454167,-19.16,1.108725,7.03E-16,264,NAN,NAN,0.5,NAN,4.897,0.152,0.875,3.684,NAN,pksmb,htru_pks,,,,,,,
1509,J1801-2115,NAN,NAN,NAN,51887,8.446,0.794,270.385375,-21.255,0.438113,1.55E-17,778.8,NAN,NAN,0.19,NAN,14.873,0.206,2.184,-6.21,NAN,pksmb,,,,,,,,
1510,J1801-2154,NAN,NAN,NAN,55385,7.838,0.554,270.28616667,-21.90198611,0.375302,1.6E-14,386,NAN,NAN,0.21,NAN,4.132,0.04,0.563,4.407,NAN,pksmb,htru_pks,,,,,,,
1511,J1801-2304,NAN,NAN,NAN,57259,6.837,-0.066,270.332562,-23.07906583,0.415827,1.13E-13,1073.9,0.34,NAN,7,NAN,4,-0.005,0.476,4.528,SNR:W28(?)[fkv93],jb2,pks1,pksmb,htru_pks,,,,,
1512,J1801-2451,-11,-1,NAN,53348,5.254,-0.882,270.25006667,-24.85763889,0.124924,1.28E-13,291.55,NAN,7.8,1.46,NAN,3.803,-0.059,0.348,4.713,SNR:G5.4-1.2[fk91],XRS:PWN[kggl01],misc,pksmb,htru_pks,,,,,
1513,J1801-2920,NAN,NAN,NAN,57600,1.437,-3.249,270.4451625,-29.34391667,1.08191,3.29E-15,125.61,NAN,NAN,2.6,NAN,3.013,-0.171,0.075,5.493,NAN,pks1,pksmb,htru_pks,,,,,,
1514,J1801-3458,NAN,NAN,NAN,53112,356.517,-6.023,270.46941667,-34.97694444,1.385604,3.97E-16,146,NAN,NAN,0.11,NAN,5.915,-0.621,-0.357,2.629,NAN,pksmb,,,,,,,,
1515,J1802+0128,NAN,NAN,NAN,51650,28.612,11.562,270.614375,1.47325,0.554262,2.11E-15,97.97,NAN,NAN,NAN,NAN,7.681,1.539,3.604,1.894,NAN,pkssw,,,,,,,,
1516,J1802+03,NAN,NAN,NAN,56362,30.608,12.488,270.68333333,3.63333333,0.6643,NAN,77,NAN,NAN,NAN,NAN,5.099,1.103,2.535,4.215,NAN,ar327,,,,,,,,
1517,J1802-0523,NAN,NAN,NAN,56908,22.425,8.398,270.55058333,-5.39138889,1.680573,2.65E-15,121,NAN,NAN,0.15,NAN,4.07,0.594,1.536,4.778,NAN,htru_pks,,,,,,,,
1518,J1802-1745,NAN,NAN,NAN,51719,11.573,2.377,270.561875,-17.75472222,0.514671,5.64E-16,264.2,NAN,NAN,0.21,NAN,6.596,0.274,1.322,2.044,NAN,pksmb,htru_pks,,,,,,,
1519,J1802-2426,NAN,NAN,NAN,51495,5.731,-0.886,270.51291667,-24.44527778,0.569007,8.56E-15,711,NAN,NAN,0.6,NAN,12.876,-0.199,1.286,-4.31,NAN,pksmb,htru_pks,,,,,,,
1520,J1802-3346,NAN,NAN,NAN,54894,357.675,-5.629,270.73,-33.77916667,2.461052,1.32E-15,217,NAN,NAN,0.2,NAN,13.672,-1.341,-0.552,-5.095,NAN,htru_pks,,,,,,,,
1521,J1803-1616,NAN,NAN,NAN,51991,13.02,2.827,270.8945,-16.275,0.536596,1.77E-15,388.1,NAN,NAN,0.16,NAN,19.035,0.939,4.283,-10.023,NAN,pksmb,htru_pks,,,,,,,
1522,J1803-1857,NAN,NAN,NAN,51491,10.73,1.428,270.99608333,-18.95527778,2.864338,1.52E-14,392,NAN,NAN,0.4,NAN,10.784,0.269,2.007,-2.092,NAN,pksmb,htru_pks,,,,,,,
1523,J1803-1920,NAN,NAN,NAN,51843,10.334,1.338,270.87266667,-19.34472222,0.443649,3.3E-16,436.1,NAN,NAN,0.27,NAN,12.534,0.293,2.248,-3.827,NAN,pksmb,htru_pks,,,,,,,
1524,J1803-2137,11.6,14.8,NAN,51544,8.395,0.146,270.96421042,-21.61870861,0.133667,1.34E-13,233.99,0.01,23,9.6,9.3,4.4,0.011,0.642,4.147,SNR:G8.7-0.1(?)[kw90],GRS:J1804-216(?)[a,jb2,pks1,pksmb,htru_pks,,,,
1525,J1803-2149,NAN,NAN,NAN,55225,8.14,0.187,270.79013333,-21.82027778,0.106332,1.95E-14,NAN,NAN,NAN,NAN,NAN,NAN,0,0,8.5,GRS:2FGL_J1803.3-2148[naa+12],FermiBlind,,,,,,,,
1526,J1803-3002A,NAN,NAN,NAN,51544,1.025,-3.926,270.89208333,-30.03388889,0.0071,NAN,193.4,NAN,NAN,NAN,NAN,7.8,-0.534,0.139,0.72,GC:NGC6522,misc,,,,,,,,
1527,J1803-3002B,NAN,NAN,NAN,54100,1.025,-3.926,270.89208333,-30.03388889,0.004397,NAN,192.6,NAN,NAN,NAN,NAN,7.8,-0.534,0.139,0.72,GC:NGC6522,misc,,,,,,,,
1528,J1803-3002C,NAN,NAN,NAN,54100,1.025,-3.926,270.89208333,-30.03388889,0.00584,NAN,194.5,NAN,NAN,NAN,NAN,7.8,-0.534,0.139,0.72,GC:NGC6522,misc,,,,,,,,
1529,J1803-3329,NAN,NAN,NAN,55152,358.015,-5.637,270.93522083,-33.48630556,0.633412,3.37E-16,170.9,NAN,NAN,NAN,NAN,7.811,-0.767,-0.269,0.731,NAN,htru_pks,,,,,,,,
1530,J1804-2228,NAN,NAN,NAN,51414,7.722,-0.397,271.11745833,-22.47166667,0.570511,1.43E-16,424,NAN,NAN,0.2,NAN,4.054,-0.028,0.545,4.483,NAN,pksmb,htru_pks,,,,,,,
1531,J1804-28,NAN,NAN,NAN,51973.7,2.833,-3.225,271.2,-28.11666667,1.273011,NAN,203.5,NAN,NAN,0.4,NAN,4.789,-0.269,0.236,3.724,NAN,pksmb,htru_pks,,,,,,,
1532,J1804-2858,NAN,NAN,NAN,54898,2.03,-3.551,271.07916667,-28.97527778,0.001493,NAN,232,NAN,NAN,NAN,NAN,8.367,-0.518,0.296,0.154,NAN,htru_pks,,,,,,,,
1533,J1805+0306,NAN,NAN,NAN,49946,30.413,11.708,271.29231094,3.10840942,0.218712,9.99E-16,80.86,0,5,NAN,NAN,5.255,1.066,2.605,4.062,NAN,gb3,pkssw,lotaas,,,,,,
1534,J1805-0619,NAN,NAN,NAN,51650,21.99,7.225,271.38098333,-6.32927778,0.454651,9.69E-16,146.22,NAN,NAN,0.9,NAN,5.342,0.672,1.984,3.586,NAN,pkssw,htru_pks,,,,,,,
1535,J1805-1504,NAN,NAN,NAN,53035,14.246,3.093,271.27541667,-15.07666667,1.181269,2.73E-16,225,NAN,NAN,3.7,NAN,5.409,0.292,1.329,3.265,NAN,pksmb,htru_pks,,,,,,,
1536,J1805-2032,NAN,NAN,NAN,51149,9.53,0.313,271.40454167,-20.5475,0.405769,8.39E-15,932.3,NAN,NAN,0.7,NAN,6.694,0.037,1.108,1.898,NAN,pksmb,htru_pks,,,,,,,
1537,J1805-2037,NAN,NAN,NAN,51388,9.449,0.307,271.36745833,-20.62111111,0.357807,1.76E-15,708.1,NAN,NAN,0.34,NAN,4.983,0.027,0.818,3.585,NAN,pksmb,htru_pks,,,,,,,
1538,J1805-2447,NAN,NAN,NAN,51936,5.807,-1.725,271.35804167,-24.79166667,0.661402,5.82E-18,269,NAN,NAN,0.27,NAN,4.576,-0.138,0.463,3.95,NAN,pksmb,,,,,,,,
1539,J1805-2948,NAN,NAN,NAN,55137,1.456,-4.217,271.42704167,-29.8,0.428341,4.74E-16,167.9,NAN,NAN,0.2,NAN,4.589,-0.337,0.116,3.925,NAN,htru_pks,,,,,,,,
1540,J1806+1023,NAN,NAN,NAN,53000,37.305,14.56,271.71714167,10.38841667,0.484286,5.73E-17,52.03,NAN,NAN,NAN,NAN,2.954,0.743,1.733,6.226,NAN,pkssw,,,,,,,,
1541,J1806-1154,NAN,NAN,NAN,50134,17.142,4.417,271.52829745,-11.90798496,0.522618,1.41E-15,122.41,0,4,2.7,NAN,3.005,0.231,0.883,5.637,NAN,gb3,pks70,pksmb,htru_pks,,,,,
1542,J1806-1618,NAN,NAN,NAN,51843,13.323,2.213,271.60741667,-16.31055556,0.668309,8.62E-16,319,NAN,NAN,0.22,NAN,10.156,0.392,2.339,-1.375,NAN,pksmb,htru_pks,,,,,,,
1543,J1806-1920,NAN,NAN,NAN,51271,10.641,0.802,271.5275,-19.33972222,0.879791,1.7E-17,683,NAN,NAN,1.4,NAN,12.793,0.179,2.362,-4.072,NAN,pksmb,htru_pks,,,,,,,
