age,r,phi,x,y,z,RA,DEC,v_r,v_phi,v_z,v_RA,v_DEC
[yr],[kpc],[rad],[kpc],[kpc],[kpc],[deg],[deg],[km / s],[km / s],[km / s],[mas / yr],[mas / yr]
81710832.9241714,20.95681862692986,9.19358563333196,-20.399238977063433,4.802009591690785,2.4037803076513518,156.49283327563242,-49.77571118697692,-48.97773687730883,-45.951183203790215,20.810563088558204,-0.7166949405825254,0.3616029431036111
70880726.64679292,33.05893243916024,6.594733868954986,31.467476293134137,10.133654314116006,7.111458867738375,304.20583990587204,58.49121506657546,348.7170919161705,-0.4910921433040574,84.87317038896146,0.0923849054828006,0.8252500308072002
83202055.3918892,25.132104570851045,9.644546393335926,-24.527626137128802,-5.478890055241847,-8.28680847301177,176.76386218144285,-78.79663149169969,195.25084187946428,-169.38435918912612,-76.3959060157686,-2.410639431990218,0.7567719768887765
36459959.462632075,8.421628660507492,7.216399902103101,5.013008268296262,6.767095196424721,7.5860386675504206,231.3167158863438,43.55339971564472,-95.02704943027823,14.531225995214433,154.7238414819697,-5.988634024715212,-5.241480819452851
3532632.187590803,9.973166226153289,9.046610070993369,-9.268488667573115,3.682276794804184,0.16174057550567872,181.3247057272263,-61.5412808893325,289.28982302941824,403.0759394037743,123.36420784745229,-1.2087099204756244,2.390237423883312
66834552.249550685,9.744453055111164,0.7818091914744457,6.915053745013306,6.865595170620152,-6.830932902263462,341.1637056795122,7.244529593227175,16.43362652488256,-86.67725564030572,-20.39546804466533,0.5772761091903101,-3.1853448150266876
15866874.844309865,16.96011665303435,11.79255448285067,12.130704865274302,-11.852913412159204,4.595888142574712,272.0591918192332,3.1536681407975995,-79.86470782949078,-631.2378248155048,285.080415456316,-5.521104515806792,-5.373524524100554
62045533.879918374,5.603325408473152,11.415373612288862,2.283787739373957,-5.116792862206365,33.265480436941125,214.29886115785325,16.675026827822904,-124.85587414898612,-129.72320553573698,497.90315465080266,-2.8088756546270313,-1.006031345292842
86415524.12613471,10.83156079280641,6.256510470024274,10.827707439347414,-0.288895856947969,-10.827559393952981,323.9740865431717,-3.6133174433469906,126.20061180373263,-133.5400724118461,-24.596217040068147,-0.7355111663575299,-1.987588175250075
64745344.98130158,7.971754109504106,6.066474793763883,7.785295031998324,-1.7140725909767693,9.786610770227648,249.99541229544695,19.361537825273583,72.07511082706334,-223.92900768446958,67.13248000742865,-1.670611736102468,-3.7301486786608824
15774945.075338086,8.85765529535951,10.629904311008039,-3.167276582412288,-8.272026135229089,6.602920540881153,240.48522831516905,-24.043797455501124,693.9235791554012,939.1402350785069,387.8918134550839,4.249189345949392,4.832621934424767
12090614.396283794,2.453592657107619,1.3367110350634699,0.5691189659783269,2.3866756230322097,0.3519594165760634,266.41430542091,-22.715891348642387,36.34852641014736,-165.90957011686342,51.08552114946108,-2.6219641742357975,-1.4004470544786516
55500010.04721024,15.707297979497127,6.5686988699899835,15.071421541727258,4.4239645713176925,14.602224435751435,247.50300697949476,48.321442918848135,173.18697369464897,-185.1875870453769,227.6312381650434,-1.4230733027799376,-1.3382657586024778
78058658.6208066,7.1091345056349295,2.838491288341003,-6.785067311116795,2.12194604144957,-0.2334584336307449,215.63483160872585,-62.50262726524711,19.353457127211723,-231.04498457526708,-16.601440784175846,-6.345546627855358,-2.9445554311898903
20741276.57486373,7.389515931557014,6.046362160054385,7.1832613759712025,-1.7336959673527634,-0.9401459814066325,287.6390506348216,-0.061921716257919646,213.83028758981715,-305.66784433880053,-0.47871700259514005,-2.2904915228960268,-4.150787915310154
57246186.385914735,15.269628619998452,0.8632639515419838,9.92465447274509,11.604429834735386,-4.627106709323228,355.0396679742049,36.58092717752332,193.79675167832264,-23.751783084216015,-20.588817988847396,3.2425263742068013,0.07766429559664416
64269409.57951346,1.331967807427662,-12.260912720492279,1.2703101520749482,0.4005625513686657,1.4681765151724013,262.1731728765594,-16.03158614326439,43.57180996068065,-14.11276364158096,146.51383188476615,-5.732130382362022,-2.238230563564135
31367162.553491767,20.0420538972245,-2.2539027601964103,-12.650653931671199,-15.544930991173414,-15.886171737362082,296.7367937019827,-64.13203699422805,616.0160854665918,-86.73371821347807,-470.72496845290095,0.4128290757889464,-2.88417858728813
43120132.29739048,12.479451759506016,10.241614973448796,-8.542564052128228,-9.097324641515458,1.3783331618872716,241.61277360267368,-46.63662900586964,255.11397183835518,155.5644889382702,-3.081938267088109,-0.9557076372492423,-1.4114946665571704
77075815.4543881,36.60506814079632,6.851911748262758,30.842974514774472,19.714003567852824,13.168675065598482,304.5340339382743,77.10955420292633,468.3678151745956,-180.46113999422667,149.89503236018723,-0.10677394876055578,0.2033554684880404
20475890.96225673,4.495161799951398,6.142866608905111,4.450980984319979,-0.6286874302578713,3.1163020770372714,264.558076571107,1.7985122142126404,0.012220672552713025,-205.32619287601983,103.37985687435857,-4.416499172803124,-5.079332774325155
46370596.82680706,10.53918724351658,5.698251662007128,8.787033928361065,-5.819149636822728,-1.5256241623708755,286.8032076653827,-3.586870522371464,55.605907860532355,-172.5867937596616,3.085032959590851,-1.8372308277163631,-3.7734597161740173
65222475.96187691,26.060880386812084,4.752166940440047,1.0363753015330657,-26.040265220809466,0.9981421901860887,265.7301618783213,-26.552791428849492,360.57951635846814,-8.799956518255884,28.884219512023968,-0.8622056442439658,-1.2632330789605444
23067227.237626277,14.429605596289164,7.660664647754103,2.7721457652243915,14.160816555580686,-0.03337199483490743,64.98045206405693,49.3050056587904,7.480726819340294,-221.83363091617193,-3.0648842353370784,0.06973182737577019,-0.5921054899390209
39347401.78340066,4.143150524700993,4.82439280857991,0.46307909043604306,-4.117190064392345,0.04078580851000014,267.4147723034988,-27.01895657451993,10.28568979932178,-200.16847212131944,9.695971242542193,-3.838339980145851,-6.344096568839248
