#;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;W50;W10;TAU_SC;S400;S1400;S2000;Sgamma;DIST;DIST_DM;ZZ;XX;YY;ASSOC;SURVEY;PSR
;;[mas/yr];[mas/yr];[mas];[MJD];[deg];[deg];[deg];[deg];[s];[s/s];[cm^-3pc];[ms];[ms];[s];[mJy];[mJy];[mJy];[erg/cm2 s];[kpc];[kpc];[kpc[;[kpc];[kpc];;;TYPE
30;J1016-5857;NAN;NAN;NAN;52717;284.079;-1.88;154.08817;-58.95336;0.1073864584588;8.08342E-14;394.48;2.9;NAN;NAN;NAN;0.9;NAN;5.444E-11;3.163;3.163;-0.104;-3.066;7.731;GRS:4FGL_J1016.3-5857[fermi21],SNR:G284.3-1.8(?);pksmb,htru_pks;NAN
31;J1019-5749;NAN;NAN;NAN;51371;283.837;-0.679;154.96725;-57.81831;0.162498709997;2.0077E-14;1040;56.2;NAN;NAN;NAN;3.8;NAN;NAN;10.913;10.913;-0.129;-10.596;5.89;GRS:4FGL_J1019.8-5749[fermi21];pksmb,htru_pks,FermiAssoc;HE[kbm+03,fermi21]
32;J1023-5746;NAN;NAN;NAN;54856;284.166;-0.407;155.762;-57.7681;0.11147243434;3.837491E-13;NAN;NAN;NAN;NAN;NAN;NAN;NAN;1.949E-10;2.08;NAN;-0.015;-2.017;7.991;GRS:4FGL_J1023.0-5745[fermi21],GRS:HESS_J1023-575,XRS:CXOU_J102302.8-574606;FermiBlind;NRAD
33;J1024-0719;-35.3;-48.23;0.77;56239;251.702;40.515;156.1611138;-7.32210973;0.00516220456226;1.85558E-20;6.4778;0.521;1.51;NAN;4.6;2.3;NAN;3.18E-12;1.22;0.381;0.793;-0.881;8.791;GRS:4FGL_J1024.5-0719[fermi21],OPT:2MASS_10243869-0719190[kkn+16];pks70,pkshl;HE[egc+13]
34;J1028-5819;NAN;NAN;NAN;54562;285.065;-0.496;157.1167;-58.3181;0.0914032309;1.61E-14;96.525;0.1;NAN;NAN;NAN;0.24;0.52;2.426E-10;1.423;1.423;-0.012;-1.374;8.13;GRS:4FGL_J1028.5-5819[fermi21];misc,htru_pks;HE[aaa+09]
35;J1044-5737;NAN;NAN;NAN;54800;286.574;1.163;161.1367;-57.622;0.1390288911;5.4628E-14;NAN;NAN;NAN;NAN;NAN;NAN;NAN;1.56E-10;1.895;NAN;0.038;-1.816;7.96;GRS:4FGL_J1044.4-5737[fermi21],GRS:1AGL_J,XRS:[pb15];FermiBlind;NRAD
36;J1048-5832;NAN;NAN;NAN;57600;287.427;0.577;162.05438;-58.53506;0.123725343351;9.61217E-14;128.679;4.8;9.7;NAN;NAN;9.1;NAN;1.958E-10;2.9;1.79;0.029;-2.767;7.632;GRS:4FGL_J1048.2-5832[fermi21];pks1,pksmb,htru_pks;HE[klm+00,aaa+09i]
37;J1057-5226;42;-3;NAN;57600;285.984;6.649;164.496021;-52.448981;0.1971146895745;5.8387E-15;29.69;88.7;17;NAN;80;4.4;NAN;2.952E-10;0.093;0.093;0.011;-0.089;8.475;GRS:4FGL_J1057.9-5227[fermi21],XRS:[of93],OPT:[mpk10];mol1,mol2,pks70,pkssw,htru_pks;HE[aaa+10m]
38;J1105-6107;NAN;NAN;NAN;57600;290.489;-0.846;166.35892;-61.130261;0.0632021309179;1.584462E-14;271.24;2.8;10;NAN;NAN;1.2;NAN;4.89E-11;2.36;2.36;-0.035;-2.21;7.674;GRS:4FGL_J1105.4-6108[fermi21],XRS:PWN[gk98];misc,pksmb,htru_pks;NAN
39;J1112-6103;NAN;NAN;NAN;51055;291.221;-0.462;168.06171;-61.05864;0.064961851894;3.14596E-14;599.1;11.3;NAN;NAN;NAN;2.3;NAN;2.034E-11;4.5;4.5;-0.036;-4.195;6.871;GRS:4FGL_J1112.1-6108[fermi21],XRS:[pb15];pksmb,htru_pks;NAN
40;J1119-6127;NAN;NAN;NAN;52109.85;292.151;-0.537;169.80958;-61.46375;0.40796298356;4.02022E-12;704.8;21.5;48;NAN;NAN;1.09;NAN;7.148E-11;8.4;6.398;-0.079;-7.78;5.333;GRS:4FGL_J1119.1-6127[fermi21],SNR:G292.2-0.5[cgk+01];pksmb,htru_pks;HE[gkc+07]
41;J1124-3653;NAN;NAN;NAN;55196;284.094;22.765;171.00465;-36.888639;0.00241;5.75E-21;44.9;NAN;NAN;NAN;0.3;NAN;NAN;1.212E-11;0.99;0.99;0.383;-0.885;8.278;GRS:4FGL_J1124.0-3653[fermi21];FermiAssoc;HE
42;J1124-5916;NAN;NAN;NAN;54683.28;292.038;1.752;171.1625;-59.2719;0.13547685441;7.52566E-13;330;NAN;NAN;NAN;NAN;0.08;NAN;6.168E-11;5;2.678;0.153;-4.633;6.625;GRS:4FGL_J1124.7-5915[fermi21],SNR:G292.0+1.8;misc;HE[hsp+03]
43;J1125-5825;-10;2.4;NAN;55126.3;291.893;2.602;171.4348568;-58.4213555;0.003102213918934;6.0899E-20;124.7946;0.31;1.72;NAN;NAN;0.86;NAN;8.9E-12;1.744;1.744;0.079;-1.617;7.85;GRS:4FGL_J1125.6-5825[fermi21];htru_pks;HE
44;J1135-6055;NAN;NAN;NAN;55000;293.794;0.584;173.784896;-60.9268;0.114943;7.93E-14;NAN;NAN;NAN;NAN;NAN;NAN;NAN;4.791E-11;NAN;NAN;0;0;8.5;GRS:4FGL_J1135.2-6055[fermi21];FermiBlind;NRAD
45;J1231-1411;-62.03;6.2;NAN;55100;295.531;48.385;187.797138;-14.195453;0.003683878711077;2.28E-20;8.09;NAN;NAN;NAN;NAN;NAN;NAN;1.028E-10;0.42;0.42;0.314;-0.252;8.38;GRS:4FGL_J1231.1-1412[fermi21];FermiAssoc;HE
46;J1357-6429;NAN;NAN;NAN;52921;309.923;-2.514;209.26012;-64.49172;0.166108327507;3.601843E-13;128.5;15;31;NAN;NAN;0.52;NAN;3.388E-11;3.1;3.1;-0.136;-2.375;6.512;GRS:4FGL_J1356.9-6432[fermi21],XRS:PWN[zav07];pksmb,htru_pks;HE[lzg+11]
47;J1410-6132;NAN;NAN;NAN;54357.3;312.195;-0.092;212.598296;-61.535597;0.0500519462;3.2E-14;961;17;NAN;NAN;NAN;1.9;NAN;2.63E-11;13.51;13.51;-0.022;-10.009;-0.574;GRS:4FGL_J1411.5-6133[fermi21];htru_pks,FermiAssoc;HE[ojk+08,fermi21]
48;J1413-6205;NAN;NAN;NAN;54800;312.373;-0.736;213.3746;-62.0939;0.10974069969;2.768E-14;NAN;NAN;NAN;NAN;NAN;NAN;NAN;1.574E-10;2.15;NAN;-0.028;-1.588;7.051;GRS:4FGL_J1413.5-6205[fermi21],GRS:1AGL_J1412-6149;FermiBlind;NRAD
49;J1418-6058;NAN;NAN;NAN;54944;313.325;0.135;214.6779;-60.9636;0.11057301169;1.69394E-13;NAN;NAN;NAN;NAN;NAN;NAN;NAN;3.017E-10;1.885;NAN;0.004;-1.371;7.207;GRS:4FGL_J1418.7-6057[fermi21],GRS:HESS_J1418-609[aab+06d],PWN:G313.3+0.1(?)[nrr05];FermiBlind;NRAD
50;J1420-6048;NAN;NAN;NAN;51600;313.541;0.227;215.03432;-60.80456;0.06817987659;8.3167E-14;360.15;8.5;16;NAN;NAN;1.19;NAN;1.698E-10;5.632;5.632;0.022;-4.082;4.62;GRS:4FGL_J1420.0-6048[fermi21],GRS:HESS_J1420-607[aab+06d];pksmb,htru_pks;HE[rrj01,waa+10]
51;J1429-5911;NAN;NAN;NAN;54800;315.261;1.299;217.4942;-59.1935;0.11584261008;3.05E-14;NAN;NAN;NAN;NAN;NAN;NAN;NAN;8.046E-11;1.955;NAN;0.044;-1.376;7.112;GRS:4FGL_J1429.9-5911[fermi21];FermiBlind;NRAD
52;J1446-4701;-4;-2;NAN;55647.8;322.5;11.425;221.64880796;-47.02410208;0.00219469577985;9.8102E-21;55.83202;0.1;0.29;NAN;NAN;0.46;NAN;7.43E-12;1.569;1.569;0.311;-0.936;7.28;GRS:4FGL_J1446.6-4701[fermi21];htru_pks;HE
53;J1459-6053;NAN;NAN;NAN;54935;317.886;-1.791;224.875;-60.88908;0.103150638274;2.52704E-14;NAN;NAN;NAN;NAN;NAN;NAN;NAN;1.292E-10;1.84;NAN;-0.058;-1.233;7.136;GRS:4FGL_J1459.5-6053[fermi21];FermiBlind;NRAD
54;J1509-5850;NAN;NAN;NAN;55378;319.972;-0.621;227.36315;-58.84889;0.088924862943;9.16633E-15;142.1;5.5;NAN;NAN;NAN;0.21;NAN;1.273E-10;3.372;3.372;-0.037;-2.169;5.918;GRS:4FGL_J1509.4-5850[fermi21],XRS:PWN[hb07c];pksmb;HE[waa+10]
55;J1513-5908;NAN;NAN;NAN;55336;320.321;-1.162;228.48255;-59.136;0.151581943393;1.52868976E-12;252.5;14.5;40;NAN;1.5;1.43;NAN;3.243E-11;4.4;4.45;-0.089;-2.809;5.114;SNR:G320.4-1.2,GRS:AGILE[ppp+09];misc,pksmb,htru_pks;HE[umw+93,ppp+09]
