n,PSRJ,RAJ,DECJ,P0,P1
,,(hms),(dms),(s),
742,J1607-0032,16:07:12.0,-00:32:41.5,0.421816,3.06E-16
743,J1607-5140,16:07:49.3,-51:40:16,0.342723,2.54E-15
744,J1607-6449,16:07:48.7,-64:49:43.0,0.298116,2.49E-17
745,J1609-1930,16:09:05.3,-19:30:08,1.557917,5.09E-16
746,J1609-4616,16:09:41.1,-46:16:22.5,0.249609,5.01E-16
747,J1609-5158,16:09:26.7,-51:58:18,1.279402,1.3E-14
748,J1610-1322,16:10:42.7,-13:22:22,1.018393,2.3E-16
749,J1610-5006,16:10:44.3,-50:06:42.2,0.481119,1.36E-14
750,J1610-5303,16:10:12.8,-53:03:49,0.786468,2.62E-15
751,J1611-4811,16:11:02.7,-48:11:39,1.29685,1.95E-15
752,J1611-4949,16:11:46.6,-49:49:57.2,0.666438,5.42E-16
753,J1611-5209,16:11:03.3,-52:09:22.1,0.182495,5.17E-15
754,J1611-5847,16:11:51.3,-58:47:42.3,0.35455,2.01E-18
755,J1612+2008,16:12:23.4,+20:08:18.3,0.426646,3.73E-17
756,J1612-2408,16:12:26.0,-24:08:04,0.923834,1.57E-15
757,J1612-5136,16:12:00.6,-51:36:54,0.483311,3.78E-15
758,J1612-5805,16:12:27.8,-58:05:29.2,0.61552,9.35E-16
759,J1613-4714,16:13:28.9,-47:14:26.9,0.382377,6.34E-16
760,J1613-5211,16:13:42.4,-52:11:21.0,0.457502,1.92E-14
761,J1613-5234,16:13:57.4,-52:34:17,0.655221,6.63E-15
762,J1614+0737,16:14:40.9,+07:37:31,1.206801,2.36E-15
763,J1614-3846,16:14:42.5,-38:46:35,0.464106,9.2E-16
764,J1614-3937,16:14:31.2,-39:37:28.8,0.407292,1.59E-16
765,J1614-5048,16:14:11.2,-50:48:03.5,0.231694,4.95E-13
766,J1614-5144,16:14:45.7,-51:44:49,1.534008,7.44E-15
767,J1614-5402,16:14:50.3,-54:02:47,0.572592,2.9E-17
768,J1615-2940,16:15:52.8,-29:40:16,2.477568,1.58E-15
769,J1615-5444,16:15:01.1,-54:44:32.4,0.360958,3.38E-16
770,J1615-5537,16:15:40.4,-55:37:00.5,0.791526,2E-15
771,J1616-5017,16:16:29.8,-50:17:14.9,0.491384,4.66E-14
772,J1616-5109,16:16:30.9,-51:09:17,1.219594,1.91E-14
773,J1616-5208,16:16:23.4,-52:08:48,1.025831,2.89E-14
774,J1617-4216,16:17:23.3,-42:16:59,3.428466,1.81E-14
775,J1617-4608,16:17:35.1,-46:08:36.5,0.56708,1.65E-14
776,J1617-5055,16:17:29.3,-50:55:13.2,0.069357,1.35E-13
777,J1618-3921,16:18:18.8,-39:21:01.8,0.011987,5.41E-20
778,J1618-4723,16:18:06.8,-47:23:19.1,0.203553,1.99E-15
779,J1620-4927,16:20:41.5,-49:27:37.1,0.171935,1.05E-14
780,J1620-5414,16:20:14.4,-54:14:51.7,1.15636,6.74E-17
781,J1621-5039,16:21:04.7,-50:39:48.6,1.08402,1.3E-14
782,J1621-5243,16:21:55.8,-52:43:44,0.371924,7.68E-16
783,J1622-3751,16:22:04.5,-37:51:13.9,0.731463,2.57E-15
784,J1622-4332,16:22:45.4,-43:32:28.2,0.916938,1.56E-15
785,J1622-4347,16:22:30.0,-43:47:21.4,0.457681,5.05E-15
786,J1622-4802,16:22:47.1,-48:02:13.1,0.265072,3.07E-16
787,J1622-4845,16:22:05.4,-48:46:29,0.735092,1.1E-16
788,J1622-4944,16:22:37.5,-49:44:30,1.072968,1.71E-14
789,J1622-4950,16:22:44.8,-49:50:54.4,4.32702,2.78E-12
790,J1622-6617,16:22:03.6,-66:17:16.9,0.023623,5.88E-20
791,J1623-0841,16:23:42.6,-08:41:36.6,0.503015,1.96E-15
792,J1623-0908,16:23:17.6,-09:08:48.7,1.276446,2.58E-15
793,J1623-2631,16:23:38.2,-26:31:53.7,0.011076,6.71E-19
794,J1623-4256,16:23:48.3,-42:56:52,0.36459,1.02E-15
795,J1623-4949,16:23:54.8,-49:49:04,0.725732,4.21E-14
796,J1623-5005,16:23:04.1,-50:05:15.1,0.085072,4.16E-15
797,J1624-4041,16:24:09.9,-40:41:29.7,0.167861,4.72E-15
798,J1624-4411,16:24:21.3,-44:11:33.8,0.233164,7.99E-16
799,J1624-4613,16:24:18.7,-46:13:02,0.871243,6.07E-17
800,J1624-4721,16:24:54.8,-47:21:27,0.448723,4.15E-15
801,J1624+8643,16:24:32.7,+86:43:13,0.395763,2.55E-16
802,J1625-4048,16:25:10.3,-40:48:21.5,2.355278,4.43E-16
803,J1625-4904,16:25:18.0,-49:04:33.6,0.460339,1.68E-14
804,J1625-4913,16:25:16.4,-49:13:44.6,0.355856,6.65E-15
805,J1626-4537,16:26:48.9,-45:37:25.6,0.370141,8.28E-15
806,J1626-4807,16:26:42.5,-48:07:54,0.293928,1.75E-14
807,J1626-6621,16:26:06.8,-66:21:15.2,0.450868,7.66E-16
808,J1627+1419,16:27:18.7,+14:19:20.7,0.490857,3.93E-16
809,J1627-4706,16:27:28.7,-47:06:50.2,0.140746,1.73E-15
810,J1627-4845,16:27:10.3,-48:45:08,0.612331,3.64E-15
811,J1627-5547,16:27:21.0,-55:47:52.4,0.352464,7.38E-16
812,J1627-5936,16:27:52.5,-59:36:55.3,0.354234,8E-18
813,J1628+4406,16:28:50.3,+44:06:42.6,0.181178,1.94E-17
814,J1628-4804,16:28:26.8,-48:04:59,0.865971,1.24E-15
815,J1628-4828,16:28:30.9,-48:28:42,4.137539,1.75E-14
816,J1629-3636,16:29:35.8,-36:36:13,2.988193,7E-15
817,J1629-3825,16:29:14.6,-38:25:29.3,0.526365,4.44E-16
818,J1630-4719,16:30:02.4,-47:19:42,0.559071,1.42E-14
819,J1630-4733,16:30:37.4,-47:33:05.0,0.575971,2.23E-14
820,J1631-1612,16:31:52.4,-16:12:52.0,0.677684,1.1E-15
821,J1631-4155,16:31:18.3,-41:55:03.7,0.551241,8.81E-18
822,J1632-1013,16:32:54.2,-10:13:18,0.717637,6.6E-17
823,J1632-4509,16:32:14.0,-45:09:09,1.04681,1.49E-14
824,J1632-4621,16:32:49.8,-46:21:48.6,1.709154,7.6E-14
825,J1632-4757,16:32:16.6,-47:57:34.5,0.228569,1.51E-14
826,J1632-4818,16:32:39.7,-48:18:53.8,0.813672,6.49E-13
827,J1633-2009,16:33:55.3,-20:10:09,0.935557,1.07E-15
828,J1633-4453,16:33:47.0,-44:53:07.8,0.436507,6.2E-15
829,J1633-4805,16:33:05.4,-48:05:36,0.71083,7.69E-14
830,J1633-5015,16:33:00.0,-50:15:08.4,0.352145,3.79E-15
831,J1634-5107,16:34:04.9,-51:07:45.6,0.507356,1.57E-15
832,J1634-5640,16:34:19.1,-56:40:48.7,0.224201,4.1E-17
833,J1635-1511,16:35:47.3,-15:11:52,1.179387,2.32E-16
834,J1635+2332,16:35:05.3,+23:32:23.2,1.208694,8.63E-16
835,J1635+2418,16:35:25.7,+24:18:47,0.490507,1.19E-16
836,J1635-4513,16:35:55.4,-45:13:27,1.594746,3.6E-15
837,J1635-4944,16:35:55.4,-49:44:36,0.671964,8.79E-15
838,J1635-5954,16:35:09.0,-59:54:41,0.529121,1.37E-15
839,J1636-2614,16:36:11.5,-26:14:47.0,0.510454,4.06E-15
840,J1636-4440,16:36:16.5,-44:40:25,0.206649,4.67E-14
841,J1636-4803,16:36:32.0,-48:03:55,1.204644,2.07E-14
842,J1636-4933,16:36:55.1,-49:33:10,0.430367,1.51E-15
843,J1637-4335,16:37:56.8,-43:35:42,0.771367,3.62E-15
844,J1637-4450,16:37:53.1,-44:50:26.3,0.25287,5.75E-16
845,J1637-4553,16:37:58.6,-45:53:26.8,0.118773,3.19E-15
846,J1637-4642,16:37:13.7,-46:42:14.2,0.154047,5.93E-14
847,J1637-4721,16:37:11.4,-47:21:03,1.165741,4.44E-15
848,J1637-4816,16:37:58.6,-48:16:12,0.837365,5.83E-15
849,J1638-3815,16:38:37.3,-38:15:03.4,0.698261,7.7E-17
850,J1638-3951,16:38:15.5,-39:51:59,0.77113,5.9E-16
851,J1638-4233,16:38:24.7,-42:33:55,0.510929,1.01E-14
852,J1638-4344,16:38:52.8,-43:44:04,1.121944,2.5E-17
853,J1638-4417,16:38:46.2,-44:17:03.2,0.117802,1.61E-15
854,J1638-4608,16:38:23.2,-46:08:13.4,0.278155,5.15E-14
855,J1638-4725,16:38:12.9,-47:25:32,0.763933,4.79E-15
856,J1638-5226,16:38:59.9,-52:26:57.4,0.340503,2.65E-15
857,J1639-4359,16:39:06.8,-43:59:52,0.587559,1.5E-17
858,J1639-4604,16:39:21.2,-46:04:33.1,0.264558,2.89E-15
859,J1640-4631,16:40:43.5,-46:31:35.4,0.206443,9.76E-13
860,J1640-4648,16:40:47.6,-46:48:45,0.178352,8.06E-16
861,J1640-4715,16:40:13.0,-47:15:38.1,0.51743,4.21E-14
862,J1640-4951,16:40:43.5,-49:51:02.1,0.739099,3.34E-16
863,J1641-2347,16:41:18.0,-23:47:36,1.091008,4.11E-17
864,J1641-5317,16:41:15.9,-53:17:48.8,0.175106,3.7E-15
865,J1643-4505,16:43:36.9,-45:05:45.8,0.23739,3.18E-14
866,J1643-4522,16:43:20.4,-45:22:01,1.347899,8.28E-15
867,J1643-4550,16:43:13.5,-45:50:54.5,0.717508,3E-14
868,J1644-4559,16:44:49.2,-45:59:09.7,0.455078,2.01E-14
869,J1644-4657,16:44:38.5,-46:57:38,0.125962,7.5E-16
870,J1645-0317,16:45:02.0,-03:17:57.8,0.38769,1.78E-15
871,J1645+1012,16:45:34.4,+10:12:16.0,0.410861,8.13E-17
872,J1646-4308,16:46:55.3,-43:08:07,0.84068,1.1E-16
873,J1646-4346,16:46:51.3,-43:46:38,0.231603,1.13E-13
874,J1646-5123,16:46:36.3,-51:23:14.6,0.530075,2.1E-15
875,J1646-6831,16:46:54.8,-68:31:51,1.785611,1.7E-15
876,J1647-3607,16:47:46.5,-36:07:04,0.212316,1.29E-16
877,J1647-4552,16:47:10.2,-45:52:16.8,10.610656,8.33E-13
878,J1647+6608,16:47:32.5,+66:08:22,1.599798,7.84E-15
879,J1648-3256,16:48:06.0,-32:56:40.8,0.719455,3.53E-15
880,J1648-4458,16:48:13.0,-44:58:26,0.629632,1.85E-15
881,J1648-4611,16:48:22.0,-46:11:15.7,0.164958,2.37E-14
882,J1648-6044,16:48:51.2,-60:44:25.5,0.583765,4.29E-16
883,J1649+2533,16:49:44.2,+25:33:07.0,1.015257,5.59E-16
884,J1649-3805,16:49:48.2,-38:05:59.1,0.262026,3.67E-17
885,J1649-3935,16:49:06.6,-39:35:44.2,0.77091,3.91E-17
886,J1649-4349,16:49:20.4,-43:49:22.2,0.870712,4.4E-17
887,J1649-4653,16:49:24.6,-46:53:09.3,0.557036,4.96E-14
888,J1649-4729,16:49:18.2,-47:29:53,0.297692,6.55E-15
889,J1649-5553,16:49:31.1,-55:53:40,0.613571,1.7E-15
890,J1650-1654,16:50:27.1,-16:54:42.2,1.749552,3.2E-15
891,J1650-4126,16:50:13.1,-41:26:33.8,0.308918,1.98E-17
892,J1650-4341,16:50:44.6,-43:41:30.8,0.309398,1.67E-17
893,J1650-4502,16:50:32.3,-45:02:37.3,0.38087,1.61E-14
894,J1650-4601,16:50:18.6,-46:01:18.6,0.127123,1.51E-14
895,J1650-4921,16:50:35.1,-49:21:03.7,0.1564,1.82E-15
896,J1651-1709,16:51:31.7,-17:09:22,0.973394,3.04E-15
897,J1651-4246,16:51:48.7,-42:46:09.4,0.844081,4.76E-15
898,J1651-4519,16:51:57.2,-45:19:11,0.517443,8.19E-15
899,J1651-5222,16:51:42.9,-52:22:58.6,0.635058,1.81E-15
900,J1651-5255,16:51:41.2,-52:55:48,0.890534,2.07E-15
901,J1651-7642,16:51:07.8,-76:42:39.5,1.755311,1.36E-15
902,J1652-1400,16:52:16.6,-14:00:27.4,0.305447,1.76E-17
903,J1652-2404,16:52:58.5,-24:03:51,1.703739,3.16E-15
904,J1652+2651,16:52:03.0,+26:51:40.4,0.915803,6.54E-16
905,J1652-4406,16:52:59.5,-44:06:05,7.707183,9.5E-15
906,J1653-3838,16:53:39.7,-38:38:20.8,0.305037,2.79E-15
907,J1653-4030,16:53:34.2,-40:30:01.4,1.019372,4.36E-16
908,J1653-4249,16:53:40.2,-42:49:03.3,0.612558,4.81E-15
909,J1653-4315,16:53:29.7,-43:15:01,0.41928,1.5E-17
910,J1653-4854,16:53:56.7,-48:54:51,3.05951,3.45E-15
911,J1654-2713,16:54:23.6,-27:13:02,0.791822,1.68E-16
912,J1654-3710,16:54:44.4,-37:10:57.1,0.939165,7.35E-16
913,J1654-4140,16:54:23.5,-41:40:24,1.273945,1.3E-16
914,J1654-4245,16:54:22.0,-42:45:39,1.101555,5.12E-14
915,J1655-3048,16:55:24.5,-30:48:42,0.542936,3.66E-17
916,J1655-3844,16:55:38.6,-38:44:09,1.193439,2E-15
917,J1656-3621,16:56:32.9,-36:21:59.7,0.730134,1.28E-15
918,J1657-4432,16:57:36.7,-44:32:20,0.609607,8.2E-15
919,J1658-4306,16:58:16.6,-43:06:50,1.166449,4.28E-14
920,J1658-4958,16:58:54.9,-49:58:58.4,0.416874,3.86E-15
921,J1659-1305,16:59:53.0,-13:05:09,0.640958,6.18E-16
922,J1659-4316,16:59:56.3,-43:16:06,0.474381,1.71E-16
923,J1659-4439,16:59:39.4,-44:39:01,0.353293,2.5E-17
924,J1700-3312,17:00:52.9,-33:12:47,1.358307,4.71E-15
925,J1700-3611,17:00:49.3,-36:11:53,1.494091,4.32E-15
926,J1700-3919,17:00:22.2,-39:19:00.0,0.560504,5.03E-18
927,J1700-4012,17:00:38.5,-40:12:38.6,0.283792,9.91E-17
928,J1700-4422,17:00:53.6,-44:22:27,0.755535,4E-17
929,J1700-4939,17:00:22.5,-49:39:15,0.578363,1.08E-15
930,J1701-3130,17:01:43.5,-31:30:36.7,0.291341,5.6E-17
931,J1701-3726,17:01:18.4,-37:26:25,2.454618,1.11E-14
932,J1701-4533,17:01:29.1,-45:33:48.7,0.322909,5.19E-16
933,J1701-4958,17:01:12.8,-49:58:33,0.804304,1.1E-16
934,J1702-3932,17:02:14.3,-39:32:40,0.390328,3.78E-16
935,J1702-4128,17:02:52.5,-41:28:48.2,0.182136,5.23E-14
936,J1702-4217,17:02:36.4,-42:17:01.2,0.227565,1.14E-17
937,J1702-4306,17:02:27.3,-43:06:45.1,0.215508,9.78E-15
938,J1702-4310,17:02:26.9,-43:10:40,0.240524,2.24E-13
939,J1702-4428,17:02:52.6,-44:28:03,2.123506,3.3E-15
940,J1703-1846,17:03:51.0,-18:46:14.8,0.804341,1.73E-15
941,J1703-3241,17:03:22.5,-32:41:48,1.211785,6.6E-16
942,J1703-4442,17:03:20.5,-44:42:42,1.747293,1.43E-14
943,J1703-4851,17:03:54.5,-48:52:01.0,1.396405,5.07E-15
944,J1704-5236,17:04:40.5,-52:36:57.4,0.230708,5.2E-17
945,J1704-6016,17:04:14.8,-60:16:54,0.306323,9.1E-16
946,J1705-1906,17:05:36.0,-19:06:39,0.298987,4.14E-15
947,J1705-3423,17:05:42.3,-34:23:43.4,0.255427,1.08E-15
948,J1705-3936,17:05:37.1,-39:36:29,0.854482,1.93E-14
949,J1705-3950,17:05:29.8,-39:50:59,0.318941,6.06E-14
950,J1705-4108,17:05:20.4,-41:08:44,0.861067,3.47E-14
951,J1705-4331,17:05:35.9,-43:31:13.6,0.222561,7.12E-17
952,J1705-6135,17:05:15.3,-61:35:15,0.808546,6E-17
953,J1706-3839,17:06:21.3,-38:39:51,0.586287,3E-15
954,J1706-4310,17:06:04.5,-43:10:21,0.616979,6.51E-15
955,J1706-6118,17:06:09.7,-61:18:11.7,0.361921,2.92E-16
956,J1707-4053,17:07:21.7,-40:53:56.1,0.581017,1.92E-15
957,J1707-4341,17:07:40.1,-43:41:12.0,0.890594,5.7E-15
958,J1707-4417,17:07:41.4,-44:17:19,5.763777,1.16E-14
959,J1707-4729,17:07:15.5,-47:29:34.5,0.266474,1.56E-15
960,J1708-3426,17:08:57.7,-34:26:44,0.692113,4.2E-15
961,J1708-3641,17:08:35.9,-36:41:21.5,0.587567,1.35E-16
962,J1708-3827,17:08:16.5,-38:27:36,1.225782,8.6E-15
963,J1708-4008,17:08:46.8,-40:08:52.4,11.006262,1.96E-11
964,J1708-4522,17:08:12.9,-45:22:51,1.297837,2.61E-15
965,J1708-7539,17:08:02.5,-75:39:23,1.191024,1.88E-15
966,J1709-1640,17:09:26.4,-16:40:57.7,0.653054,6.31E-15
967,J1709-3626,17:09:45.1,-36:26:03.6,0.447857,2.27E-15
968,J1709-3841,17:09:15.9,-38:41:17,0.586986,7.86E-15
969,J1709-4342,17:09:30.9,-43:42:14,1.735898,8E-16
970,J1709-4401,17:09:41.3,-44:01:11.2,0.865235,7.37E-15
971,J1709-4429,17:09:42.7,-44:29:08.2,0.102459,9.3E-14
972,J1710-2616,17:10:04.9,-26:16:35,0.954158,2E-17
973,J1710-4148,17:10:23.7,-41:48:19,0.286561,1.02E-16
974,J1711-1509,17:11:55.0,-15:09:40,0.868804,1.1E-15
975,J1711-3826,17:11:44.4,-38:26:14,0.465365,7.41E-15
976,J1711-4322,17:11:10.5,-43:22:53.1,0.102618,2.67E-17
977,J1711-5350,17:11:53.1,-53:50:16,0.899218,1.55E-14
978,J1712-2715,17:12:11.7,-27:15:53,0.25536,1.28E-15
979,J1713-3844,17:13:02.3,-38:44:29,1.600114,1.77E-13
980,J1714-1054,17:14:40.1,-10:54:10.9,0.696279,5.88E-17
981,J1714-3810,17:14:05.7,-38:10:30.9,3.824936,5.88E-11
982,J1715-3247,17:15:23.4,-32:47:30,1.260214,9.2E-17
983,J1715-3700,17:15:09.6,-37:00:04,0.779628,1.46E-16
984,J1715-3859,17:15:37.8,-38:59:25.1,0.928108,4.4E-15
985,J1715-3903,17:15:14.0,-39:02:57.1,0.278494,3.74E-14
986,J1715-4034,17:15:40.9,-40:34:21,2.072155,3.03E-15
987,J1715-4254,17:15:10.5,-42:54:54,0.573745,8.76E-16
988,J1716-3720,17:16:11.3,-37:20:44,0.630314,1.8E-14
989,J1716-4005,17:16:42.0,-40:05:27,0.311813,2.87E-15
990,J1716-4111,17:16:44.3,-41:11:09.5,1.036067,2.88E-15
991,J1716-4711,17:16:01.1,-47:11:00.9,0.555824,8.33E-16
992,J1717-3425,17:17:20.2,-34:25:00,0.656299,9.8E-15
993,J1717-3737,17:17:15.9,-37:37:36,0.682419,5.29E-15
994,J1717-3847,17:17:18.4,-38:47:03,1.149499,8.2E-16
995,J1717-3953,17:17:25.5,-39:53:55,1.085521,3.3E-17
996,J1717-4043,17:17:47.9,-40:43:50,0.397857,1.22E-14
997,J1717-40435,17:17:02.0,-40:43:31,0.349929,1.75E-15
998,J1717-4054,17:17:52.3,-41:03:17.8,0.887719,3.7E-15
999,J1717-5800,17:17:35.6,-58:00:05.4,0.321793,1.96E-16
1000,J1718-3714,17:18:18.5,-37:14:16,1.289379,2.62E-14
1001,J1718-3718,17:18:10.0,-37:18:53,3.378574,1.61E-12
1002,J1718-3825,17:18:13.5,-38:25:18.0,0.07467,1.32E-14
1003,J1718-4539,17:18:11.9,-45:39:15.9,0.590473,7.51E-15
1004,J1719-2330,17:19:36.1,-23:30:14,0.453993,2.19E-15
1005,J1719-4006,17:19:01.7,-40:06:59.5,0.189094,1.67E-15
1006,J1719-4302,17:19:48.7,-43:02:11.4,0.235475,3.92E-16
1007,J1720-0212,17:20:57.2,-02:12:23.9,0.477715,8.28E-17
1008,J1720-1633,17:20:25.2,-16:33:34,1.565601,5.8E-15
1009,J1720+2150,17:20:01.3,+21:50:12.8,1.615664,7.4E-16
1010,J1720-2446,17:20:22.4,-24:46:27,0.874265,5.93E-16
1011,J1720-2933,17:20:34.1,-29:33:16,0.620448,7.46E-16
1012,J1720-3659,17:20:01.9,-36:59:06.5,0.351125,3.27E-17
1013,J1721-1936,17:21:01.4,-19:36:51,1.004037,1.62E-15
1014,J1721-1939,17:21:46.6,-19:39:49,0.40404,1.28E-16
1015,J1721-3532,17:21:32.7,-35:32:50,0.280424,2.52E-14
1016,J1722-3207,17:22:02.9,-32:07:45.3,0.477158,6.45E-16
1017,J1722-3632,17:22:09.8,-36:32:53.3,0.399183,4.46E-15
1018,J1722-3712,17:22:59.2,-37:12:04.5,0.23618,1.09E-14
1019,J1722-4400,17:22:46.5,-44:00:33.2,0.218554,3.74E-16
1020,J1723-2852,17:23:58.2,-28:52:51,0.625034,9E-16
1021,J1723-3659,17:23:07.5,-36:59:14.2,0.202725,8.03E-15
1022,J1724-3149,17:24:44.8,-31:49:04,0.948237,7.25E-15
1023,J1724-3505,17:24:47.8,-35:05:36,1.221708,2.11E-14
1024,J1724-4500,17:24:25.8,-45:00:15,1.309109,3.51E-15
1025,J1725-0732,17:25:12.2,-07:32:59.2,0.239919,4.3E-16
1026,J1725-2852,17:25:09.9,-28:52:22,1.257788,1.99E-15
1027,J1725-3546,17:25:42.2,-35:46:16,1.032471,1.5E-14
1028,J1725-3848,17:25:00.1,-38:48:36,2.062386,2.3E-14
1029,J1725-4043,17:25:41.4,-40:43:11,1.465071,2.79E-15
1030,J1726-3530,17:26:07.5,-35:29:58,1.110132,1.22E-12
1031,J1726-3635,17:26:49.6,-36:35:45.6,0.287432,1.44E-15
1032,J1726-4006,17:26:33.3,-40:06:02,0.882778,3.33E-15
1033,J1727-2739,17:27:30.9,-27:39:00.5,1.2931,1.1E-15
1034,J1727-2946,17:27:15.0,-29:46:36.7,0.027083,2.46E-19
1035,J1728-0007,17:28:34.8,-00:07:45,0.386004,1.12E-15
1036,J1728-3733,17:28:46.2,-37:33:08,0.615538,7.2E-17
1037,J1728-4028,17:28:27.6,-40:28:10,0.866343,2.33E-16
1038,J1729-2117,17:29:10.8,-21:17:28,0.066293,1.72E-19
1039,J1730-2900,17:30:08.2,-29:00:46,1.538427,8.85E-15
1040,J1730-3350,17:30:32.5,-33:50:39,0.13946,8.48E-14
1041,J1730-3353,17:30:55.5,-33:53:38,3.270242,2.2E-14
1042,J1731-3123,17:31:00.5,-31:23:43,0.753048,1.68E-15
1043,J1731-3322,17:31:14.3,-33:22:45,0.544671,2.81E-14
1044,J1731-4744,17:31:42.1,-47:44:36.2,0.829829,1.64E-13
1045,J1732-1930,17:32:20.0,-19:30:09,0.48377,1.82E-16
1046,J1732-3131,17:32:33.5,-31:31:23,0.196543,2.8E-14
1047,J1732-3426,17:32:07.1,-34:26:05,0.332887,4.02E-16
1048,J1732-3729,17:32:20.8,-37:29:05,2.184001,1.3E-15
1049,J1732-4128,17:32:50.0,-41:28:48,0.627981,1.28E-14
1050,J1732-4156,17:32:48.8,-41:56:29.6,0.323434,6.61E-16
1051,J1733-2228,17:33:26.4,-22:28:37,0.871683,4.27E-17
1052,J1733-2533,17:33:25.8,-25:33:11,0.659794,2.1E-15
1053,J1733-2837,17:33:33.9,-28:37:33,0.768185,1.11E-15
1054,J1733-3030,17:33:58.8,-30:30:49,0.362052,1.65E-15
1055,J1733-3322,17:33:55.2,-33:22:03,1.245915,4.1E-15
1056,J1733-3716,17:33:26.7,-37:16:55.1,0.337595,1.5E-14
1057,J1733-4005,17:33:58.6,-40:05:39.7,0.561778,3.62E-15
1058,J1733-5515,17:33:00.4,-55:15:40,1.011234,4E-16
1059,J1734-0212,17:34:45.6,-02:12:39,0.839394,4.21E-16
1060,J1734-2415,17:34:41.6,-24:15:20,0.612524,1.05E-15
1061,J1734-3058,17:34:50.8,-30:58:41.4,0.541286,1.62E-17
1062,J1734-3333,17:34:26.9,-33:33:20,1.169341,2.28E-12
1063,J1735-0243,17:35:48.1,-02:43:48,0.782887,6.32E-16
1064,J1735-0724,17:35:04.9,-07:24:52.1,0.419335,1.21E-15
1065,J1735-3258,17:35:56.9,-32:58:21.8,0.350972,2.6E-14
1066,J1735+6320,17:35:06.5,+63:20:00.0,0.510718,3.23E-16
1067,J1736-2457,17:36:45.4,-24:57:50,2.642223,3.43E-15
1068,J1736-2819,17:36:24.7,-28:19:42,1.592419,1.49E-14
1069,J1736-2843,17:36:42.5,-28:43:51,6.445036,3E-14
1070,J1736-3511,17:36:02.7,-35:11:56,0.502803,1.57E-15
1071,J1737-3102,17:37:33.7,-31:02:00.5,0.768672,3.73E-14
1072,J1737-3137,17:37:04.2,-31:37:21,0.450432,1.39E-13
1073,J1737-3320,17:37:10.5,-33:20:20,0.816273,2.25E-15
1074,J1737-3555,17:37:40.0,-35:55:43.8,0.397585,6.12E-15
1075,J1738-2330,17:38:08.8,-23:30:47,1.978847,8.56E-15
1076,J1738-2647,17:38:05.0,-26:47:46,0.349591,3.15E-15
1077,J1738-2736,17:38:14.6,-27:36:25.8,0.627716,4.62E-15
1078,J1738-2955,17:38:52.1,-29:55:57.4,0.443425,8.2E-14
1079,J1738-3107,17:38:47.4,-31:07:44,0.549498,2.96E-16
1080,J1738-3211,17:38:54.1,-32:11:54,0.768499,7.95E-16
1081,J1738-3316,17:38:34.4,-33:16:01.6,0.730373,8.86E-17
1082,J1739+0612,17:39:17.9,+06:12:28.4,0.234169,1.56E-16
1083,J1739-1313,17:39:57.8,-13:13:18.6,1.215698,8.17E-17
1084,J1739-2521,17:39:32.6,-25:21:56,1.818461,2.4E-16
1085,J1739-2903,17:39:34.2,-29:03:02.2,0.322886,7.87E-15
1086,J1739-3023,17:39:39.7,-30:23:12.9,0.114372,1.14E-14
1087,J1739-3049,17:39:23.2,-30:49:40,0.239317,2.18E-15
1088,J1739-3131,17:39:24.3,-31:31:15,0.529441,1.86E-14
1089,J1739-3159,17:39:48.6,-31:59:49,0.877561,1.97E-16
1090,J1739-3951,17:39:38.2,-39:52:00.3,0.341772,1.99E-17
1091,J1740+1000,17:40:25.9,+10:00:06.3,0.154087,2.15E-14
1092,J1740+1311,17:40:07.3,+13:11:56.6,0.80305,1.45E-15
1093,J1740-2540,17:40:45.3,-25:40:19,1.692656,1.85E-15
1094,J1740-3015,17:40:33.8,-30:15:43.5,0.606887,4.66E-13
1095,J1740-3052,17:40:50.0,-30:52:04.3,0.570313,2.55E-14
1096,J1740-3327,17:40:25.7,-33:27:53.5,0.515001,3.9E-15
1097,J1741-0840,17:41:22.5,-08:40:31.7,2.043082,2.27E-15
1098,J1741-2019,17:41:06.8,-20:19:24,3.904506,1.63E-14
1099,J1741-2054,17:41:57.2,-20:54:11.8,0.4137,1.7E-14
1100,J1741-2719,17:41:35.0,-27:19:23,0.346797,8.06E-17
1101,J1741-2733,17:41:01.3,-27:33:51,0.892959,1.48E-16
1102,J1741+2758,17:41:53.5,+27:58:09.0,1.360738,1.84E-15
1103,J1741-2945,17:41:14.4,-29:45:35,0.223558,6.34E-16
1104,J1741-3016,17:41:07.0,-30:16:31,1.893749,8.99E-15
1105,J1741-3927,17:41:18.0,-39:27:38.2,0.512212,1.71E-15
1106,J1742-3957,17:42:04.4,-39:57:22,1.016349,8.16E-17
1107,J1742-4616,17:42:26.1,-46:16:53.5,0.412401,3.38E-17
1108,J1743-0339,17:43:08.1,-03:39:11,0.444645,1.56E-15
1109,J1743-1351,17:43:37.6,-13:51:38,0.405337,4.78E-16
1110,J1743-2442,17:43:20.1,-24:42:55,1.242508,4.72E-16
1111,J1743-3150,17:43:36.6,-31:50:22,2.414576,1.21E-13
1112,J1743-3153,17:43:15.5,-31:53:05.3,0.193105,1.06E-14
1113,J1743-4212,17:43:05.2,-42:12:02.4,0.306167,7.83E-16
1114,J1744-1610,17:44:16.5,-16:10:35.8,1.757206,2.38E-15
1115,J1744-2335,17:44:48.4,-23:35:55,1.683507,8.33E-16
1116,J1744-3130,17:44:05.6,-31:30:04,1.066061,2.12E-14
