n,PSRJ,RAJ,DECJ,P0,P1
,,(hms),(dms),(s),
122,J0540-6919,05:40:11.2,-69:19:54.1,0.05057,4.79E-13
123,J0540-7125,05:40:30.8,-71:25:31.4,1.286015,8.2E-16
124,J0543+2329,05:43:11.0,+23:16:40.1,0.245984,1.54E-14
125,J0543-6851,05:43:52.7,-68:51:25.3,0.708954,3.94E-15
126,J0546+2441,05:46:28.7,+24:41:21,2.84385,7.65E-15
127,J0554+3107,05:54:05.0,+31:07:41,0.464961,1.43E-13
128,J0555-7056,05:55:01.8,-70:56:45.6,0.827838,5.96E-15
129,J0557-2948,05:57:32.9,-29:48:16.8,0.043643,7.3E-20
130,J0600-5756,06:00:46.5,-57:56:54,2.261365,2.78E-15
131,J0601-0527,06:01:58.9,-05:27:50.8,0.395969,1.3E-15
132,J0609+2130,06:09:58.8,+21:30:02.8,0.055698,2.35E-19
133,J0611+1436,06:11:18.6,+14:36:52,0.270329,4E-15
134,J0612+3721,06:12:48.6,+37:21:37,0.297982,5.95E-17
135,J0612+37216,06:12:44.1,+37:21:40,0.443871,1.5E-16
136,J0613+3731,06:13:12.1,+37:31:38.3,0.619198,3.24E-15
137,J0614+2229,06:14:17.0,+22:29:56.8,0.33496,5.94E-14
138,J0621+0336,06:21:11.2,+03:36:45.5,0.269954,7.24E-18
139,J0621+1002,06:21:22.1,+10:02:38.7,0.028854,4.73E-20
140,J0622+3749,06:22:10.5,+37:49:13.6,0.333208,2.54E-14
141,J0623+0340,06:23:46.7,+03:40:06.8,0.61376,8.84E-17
142,J0624-0424,06:24:20.0,-04:24:50,1.039076,8.3E-16
143,J0627+0649,06:27:53.6,+06:49:54.1,0.346523,1.7E-15
144,J0627+0706,06:27:44.1,+07:06:32.8,0.475885,2.98E-14
145,J0628+0909,06:28:36.1,+09:09:13.9,1.241421,5.48E-16
146,J0629+2415,06:29:05.7,+24:15:41.5,0.476623,2E-15
147,J0630-0046,06:30:26.9,-00:46:05.8,0.680575,3.75E-15
148,J0630-2834,06:30:49.4,-28:34:42.7,1.244419,7.12E-15
149,J0631+0646,06:31:52.3,+06:46:14.2,0.110979,3.62E-15
150,J0631+1036,06:31:27.5,+10:37:02.5,0.2878,1.05E-13
151,J0633+0632,06:33:44.2,+06:32:34.9,0.297395,7.96E-14
152,J0633+1746,06:33:54.1,+17:46:12.9,0.237099,1.1E-14
153,J0633-2015,06:33:08.8,-20:15:07.1,3.253211,3.82E-15
154,J0636-4549,06:36:33.7,-45:49:32.6,1.984597,3.17E-15
155,J0646+0905,06:46:30.9,+09:05:49.3,0.903913,7.36E-16
156,J0647+0913,06:47:15.6,+09:13:59.5,1.234854,6.42E-15
157,J0652-0142,06:52:11.1,-01:42:30.3,0.924054,1.52E-16
158,J0653+8051,06:53:15.0,+80:52:00.2,1.214441,3.8E-15
159,J0656-2228,06:56:30.2,-22:28:25.5,1.224754,2.67E-17
160,J0656-5449,06:56:48.9,-54:49:14.9,0.183157,3.19E-17
161,J0658+0022,06:58:15.2,+00:22:35.3,0.563295,9.15E-15
162,J0659+1414,06:59:48.1,+14:14:19.4,0.384929,5.49E-14
163,J0700+6418,07:00:37.8,+64:18:11.2,0.195671,6.85E-19
164,J0709+0458,07:09:08.3,+04:58:51.4,0.034429,3.8E-19
165,J0709-5923,07:09:32.5,-59:23:55.6,0.485268,1.26E-16
166,J0711+0931,07:11:36.1,+09:31:25,1.21409,4E-16
167,J0719-2545,07:19:07.3,-25:45:00.2,0.974725,7.28E-15
168,J0720-3125,07:20:24.9,-31:25:50.0,8.391116,6.98E-14
169,J0721-2038,07:21:42.9,-20:38:07.0,0.015542,4.4E-20
170,J0725-1635,07:25:00.4,-16:35:46,0.424311,9.26E-17
