,age,r,phi,z,v_r,v_phi,v_z
,[yr],[kpc],[rad],[kpc],[km/s],[km/s],[km/s]
48,2823540.510467213,3.631986767496931,0.528745880050562,0.775274693694808,-156.5897912443013,223.51551917137704,149.83931329665717
49,9617673.294571348,6.745202062176391,6.221975283114552,-1.360823740722946,317.1439777522902,40.11002209442972,-171.86309850982278
50,4036403.674031141,13.071469059259353,5.3833264424326,-0.5623159134612382,339.0405924533074,-369.372109948038,-160.93207699124613
51,1560147.0153116547,5.891999967255872,0.1590201673357704,-0.30348845099271976,-64.13744898331575,-155.33833367286135,48.06492573620149
52,24572370.315087542,1.087272239967521,1.2842045554127732,1.1768549224516365,94.81242513389716,-261.8934646587806,-128.2605683045406
53,22420200.151893504,14.522603313555603,0.6994531140551942,7.2893778663319475,542.9653612830401,-130.50971150617636,299.86704212401963
54,20100526.02068088,9.106047130860977,-0.09855222259698918,-2.371133957972138,283.6093737832778,-320.7122302842602,-79.17528062055632
55,19961527.38107831,12.150861480339403,5.675805324339238,-10.585952494434428,327.66317768084497,-289.7787967327177,-504.55275341301876
56,15627074.996816562,9.071631274800671,5.9459204160149275,-0.9565952399963161,58.51114599358365,-29.833907934399313,-78.76065059480129
57,4479851.061268718,11.1009246413662,2.9804105298750776,-0.6758957561234105,-287.94885082555317,-170.7408785759184,-156.8462914556835
58,6246877.789763508,6.2332422588586835,5.715434208081761,-2.424176992327771,148.40021515055284,-398.5171896763147,-405.9682600276732
59,5557233.921370714,5.484610483917934,4.671817508895578,2.7618141475485825,206.02066957435113,-457.4080236029321,496.6824341015143
60,19287731.494214356,1.5176384024307041,1.882075575437763,3.639477317414418,309.19244944251426,-355.7511600524827,86.61345625771436
61,4284538.971890567,10.309654780623973,3.6040337094104755,2.2074739770760523,-92.76471563714053,-436.06684415503435,486.90985984654947
62,24637872.23590959,10.941797724193524,1.3586858926810144,3.403305339843932,154.05855236022384,-25.239083978268635,120.86522444840456
63,12288104.167600026,8.850945216577802,0.6852165257269375,0.8104496973841868,343.9265083737078,-164.27649943261798,56.21092981131788
64,11203052.27025256,14.1642478218849,1.961835498730968,-2.9664439424618774,87.74771610576985,-504.8700306724426,-276.58515943142027
65,14745546.667329215,2.420264485193169,4.613612938024625,0.4923769491899648,-73.25018475629051,-51.491827751374686,-81.29242020115129
66,17241040.700741984,4.1820094512330455,1.894027206897806,0.2864574880125226,342.00113226973275,-153.99190115848754,1.0937166848406836
67,15361487.751229221,9.297353523338634,0.2815703640807259,0.19501920635258707,433.8302706779493,-303.8766423466875,-22.74098900105292
68,28242919.202030055,12.881393572504589,2.2784149400176323,-5.203584532837452,502.53204203493294,-96.37664175844219,-109.90716760502573
69,27619107.338967215,22.675188988422526,5.110022130883531,2.8177256290944084,196.3400216684298,7.926694016135573,90.3607740691783
70,6347051.101508728,13.043433292568148,4.381038078368267,0.29653230727511776,19.60922901038981,-391.50646111874346,71.00842125902551
71,24847058.547598664,11.807196548707402,-1.3675965743943301,0.4257307716215443,378.971849693064,-3.8316492280298857,19.975248762787274
72,15347532.090133993,8.538889456532964,3.681601961075833,-1.6244668038454417,287.9463391799765,63.88957074355258,-89.14787552979892
73,4875503.861329812,5.095774987133514,1.1183339217039445,-2.5645654212405162,327.6021106703336,-560.8686549486832,-381.4788860946718
